,Importance
Bacteroides_caccae,-1.3092568760122556e-09
motu_linkage_group_316,-7.379415214806004e-09
motu_linkage_group_87,-3.318648742136989e-10
Streptococcus_sp__C150,9.397461790438267e-10
motu_linkage_group_771,1.5903621084092792e-08
motu_linkage_group_450,1.8150093901861906e-08
Lachnospiraceae_bacterium_1_4_56FAA,9.654415024458147e-10
motu_linkage_group_566,9.754649364905158e-10
motu_linkage_group_290,2.2689676676326137e-09
motu_linkage_group_320,-1.4255170623830164e-08
Clostridium_scindens,-4.97830305646618e-10
motu_linkage_group_254,1.9857776575419104e-09
Dialister_invisus,-4.6561740658255715e-10
Clostridium_spiroforme,9.42680481615556e-11
motu_linkage_group_460,1.1066994929799727e-08
motu_linkage_group_357,4.001006252577183e-11
Lachnospiraceae_bacterium_3_1_57FAA_CT1,1.361241372673539e-09
motu_linkage_group_491,1.2807211024629742e-08
Haemophilus_influenzae,-1.1801985301635815e-10
butyrate_producing_bacterium_SS3_4,1.651606913823312e-09
motu_linkage_group_386,-1.1020064991977044e-08
motu_linkage_group_411,-5.332869122448404e-09
motu_linkage_group_550,-1.0450779972895352e-08
Streptococcus_sanguinis,2.338960195516525e-10
motu_linkage_group_177,-4.539266980682358e-09
Haemophilus_pittmaniae,-4.6271551695498943e-10
Lactococcus_lactis,3.425640688205173e-09
motu_linkage_group_389,-4.443894403481624e-09
Eubacterium_biforme,8.281990065686854e-09
Eubacterium_rectale,3.7704045491299873e-10
motu_linkage_group_703,-1.0671564939625733e-09
Roseburia_hominis,-6.942566154695217e-09
motu_linkage_group_497,-7.242745207514142e-09
motu_linkage_group_243,3.139591299211135e-09
motu_linkage_group_104,-1.865979210547965e-09
Eggerthella_lenta,-2.602751970743728e-09
motu_linkage_group_562,-8.648815810586578e-10
Bacteroides_coprocola,-2.4312088572671282e-09
motu_linkage_group_536,-5.770545385299357e-09
motu_linkage_group_334,-3.3150909057994345e-08
Veillonella_dispar,1.2134518200703313e-10
Klebsiella_variicola_pneumoniae,2.9906090207292155e-08
motu_linkage_group_611,-6.123116704121905e-10
Escherichia_albertii,1.474234486991084e-10
Enterococcus_faecalis,4.185532551500874e-09
motu_linkage_group_463,8.767874538835826e-09
motu_linkage_group_439,-6.589055780168438e-10
motu_linkage_group_415,2.292118687993607e-08
motu_linkage_group_195,-1.0261353628492074e-08
motu_linkage_group_246,-1.1874083101019066e-09
motu_linkage_group_575,2.1189891168655498e-09
motu_linkage_group_404,2.7508116194319392e-09
butyrate_producing_bacterium,-5.62303675593182e-09
Veillonella_atypica,-7.224342504951749e-09
motu_linkage_group_548,2.0419041084769346e-08
motu_linkage_group_85,-1.4195629825891802e-08
motu_linkage_group_470,-1.4582987657434612e-08
Gemella_sanguinis,1.372796250426986e-10
Streptococcus_infantis,1.0309191038173367e-09
motu_linkage_group_644,-2.891255699605836e-08
Clostridium_leptum,6.18193335611777e-09
_Ruminococcus__gnavus,1.088979695673684e-09
motu_linkage_group_652,-2.0574724985931576e-08
Mitsuokella_multacida,-7.0879621797105515e-09
motu_linkage_group_310,1.0705807371378439e-08
Clostridium_sp__L2_50,6.895063127681067e-09
motu_linkage_group_646,6.131866670413717e-10
motu_linkage_group_678,2.337949910152943e-09
Odoribacter_splanchnicus,-6.245060270494231e-10
motu_linkage_group_302,-1.6016587985967753e-08
motu_linkage_group_258,-5.321707797000469e-09
motu_linkage_group_701,-2.4818415886466502e-09
motu_linkage_group_168,1.0165221215642125e-09
motu_linkage_group_324,-8.349064063794055e-09
Akkermansia_muciniphila,2.048258742086741e-09
motu_linkage_group_504,1.6993480379865207e-09
motu_linkage_group_574,-3.72806895991309e-09
Blautia_hydrogenotrophica,1.2110940844673314e-09
motu_linkage_group_210,-1.8849466038635732e-09
Methanobrevibacter_smithii,-7.987011544002467e-10
Bacteroides_plebeius,3.775943583039058e-10
motu_linkage_group_212,-4.850289707968119e-09
Bacteroides_ovatus,-4.070742869080062e-09
motu_linkage_group_241,5.5637046056730275e-09
motu_linkage_group_297,1.877546676257193e-10
motu_linkage_group_135,-4.836033287895278e-12
motu_linkage_group_588,-2.3758828990577503e-09
_Clostridium__bartlettii,8.520457614811314e-09
motu_linkage_group_498,1.62218787036833e-08
Subdoligranulum_variabile,7.787747018199281e-11
motu_linkage_group_228,-2.015603101146409e-10
Dorea_formicigenerans,-9.82041877723457e-10
Streptococcus_mutans,3.5856322147662847e-10
motu_linkage_group_289,5.62687526732825e-09
Roseburia_inulinivorans,4.267726563639401e-10
motu_linkage_group_224,7.798843588126657e-09
motu_linkage_group_63,-3.716352585975435e-10
motu_linkage_group_234,-8.051307955700425e-10
Victivallis_vadensis,3.918997878977863e-09
motu_linkage_group_457,-1.1678841778086084e-09
Collinsella_aerofaciens,1.2119410948178003e-08
Coprobacillus_sp__29_1,2.3735072898112627e-09
motu_linkage_group_233,6.090085374066504e-09
motu_linkage_group_672,5.923042750069613e-09
motu_linkage_group_205,-1.805705319568283e-09
Phascolarctobacterium_succinatutens,-2.583368074165305e-09
motu_linkage_group_586,-4.1375861675440185e-09
unclassified_Lachnospiraceae,1.318024524565402e-09
motu_linkage_group_471,1.0487298328473972e-09
motu_linkage_group_225,1.676611356249076e-09
motu_linkage_group_301,-2.5331479423901942e-09
motu_linkage_group_252,-8.00427412874114e-09
Streptococcus_thermophilus,1.0609800621753741e-08
Eubacterium_ventriosum,-7.777468667801688e-09
Enterobacteriaceae_bacterium_9_2_54FAA,4.496159743225239e-09
Bacteroides_thetaiotaomicron,2.7290808052357386e-09
motu_linkage_group_349,1.4018516426184025e-09
Bilophila_wadsworthia,1.8864347682254775e-08
Clostridiales_bacterium_1_7_47FAA,-1.9282046211931313e-10
motu_linkage_group_317,9.943396308386229e-09
motu_linkage_group_691,-5.905232506321943e-09
Haemophilus_haemolyticus,-2.2162275352050284e-10
Prevotella_copri,-2.0035113441302636e-10
Streptococcus_salivarius,2.3076069073694487e-08
motu_linkage_group_837,-1.8176339759359804e-09
motu_linkage_group_434,-4.228929136580251e-09
Bacteroides_eggerthii,-7.187124100424089e-10
motu_linkage_group_327,5.3101699077265e-09
motu_linkage_group_621,-1.088947706533675e-09
motu_linkage_group_38,-5.97800997845428e-09
motu_linkage_group_559,3.205161695012142e-09
motu_linkage_group_270,1.7065499467706292e-10
motu_linkage_group_120,1.2220804569635606e-08
motu_linkage_group_507,-1.665432153913103e-08
Veillonella_parvula,1.6559358238986264e-08
motu_linkage_group_230,1.546505126866868e-09
motu_linkage_group_486,9.090257314611795e-10
motu_linkage_group_333,3.6407401783834723e-09
motu_linkage_group_552,-1.1799547318394746e-08
motu_linkage_group_613,2.4144055709224495e-09
motu_linkage_group_481,6.650293785560072e-10
motu_linkage_group_529,-8.008761899452333e-09
Pseudomonas_stutzeri,4.775033846433832e-11
motu_linkage_group_118,-1.874006779434313e-08
motu_linkage_group_625,-1.1995415077014961e-08
motu_linkage_group_636,2.490498065616897e-08
motu_linkage_group_490,-1.1587696920930088e-08
motu_linkage_group_281,1.0400346806091225e-09
motu_linkage_group_190,-9.396691009217253e-09
motu_linkage_group_151,1.4499364175218627e-09
Anaerotruncus_colihominis,-1.2913038426283807e-09
Bacteroides_fragilis,9.582460900777302e-09
motu_linkage_group_510,2.8828278460875182e-09
motu_linkage_group_521,2.0155682266438285e-09
Dorea_longicatena,1.4776291618440795e-08
motu_linkage_group_306,7.711496188709725e-10
Bacteroides_dorei_vulgatus,1.7881359228689542e-09
motu_linkage_group_496,-7.78888372273165e-09
motu_linkage_group_592,1.112940353050847e-08
Ruminococcus_bromii,2.6814227241768954e-09
motu_linkage_group_218,6.98445966668797e-09
motu_linkage_group_686,-2.2705022505279735e-09
Bacteroides_stercoris,5.6417614602597486e-11
motu_linkage_group_115,-2.9072225514270162e-09
Bifidobacterium_longum,1.184610036081353e-08
motu_linkage_group_145,-3.512896328990753e-09
motu_linkage_group_260,-1.995105367861179e-09
motu_linkage_group_568,-3.541033090712732e-09
Escherichia_coli,-1.7052296743262221e-09
Coprococcus_comes,1.7464762995417908e-08
motu_linkage_group_551,-9.395031008457757e-09
Ruminococcaceae_bacterium_D16,-4.16316012489367e-09
motu_linkage_group_284,-7.632201831143512e-09
motu_linkage_group_282,-6.953442131308512e-09
motu_linkage_group_517,1.7457623405126463e-09
motu_linkage_group_164,-7.973727479593131e-10
Streptococcus_gordonii,9.133239754787113e-10
motu_linkage_group_244,-2.1768864099128958e-08
motu_linkage_group_341,5.332435061080457e-09
Bifidobacterium_angulatum,9.637941542507624e-10
motu_linkage_group_379,-1.464205022995341e-09
Eubacterium_cylindroides,-2.7949375990334534e-09
motu_linkage_group_525,-1.2016064198276538e-08
Eubacterium_hallii,-5.128163338137481e-09
motu_linkage_group_251,6.336189557287817e-09
_Ruminococcus__obeum,-4.0274235893875185e-10
Streptococcus_australis,1.0583534799717863e-09
motu_linkage_group_124,-3.32368116976253e-08
motu_linkage_group_348,-3.933915018719481e-09
Ruminococcus_sp__5_1_39BFAA,4.6761724654685656e-11
Clostridium_symbiosum,-5.32548200528656e-10
motu_linkage_group_604,6.760128600719723e-10
motu_linkage_group_383,-8.81476603944344e-09
Streptococcus_vestibularis,4.220464581456145e-09
motu_linkage_group_192,2.1042244826349223e-09
motu_linkage_group_480,5.138626952069143e-09
motu_linkage_group_474,-5.339370828509443e-09
Pseudoflavonifractor_capillosus,7.571627492589562e-10
Bacteroides_xylanisolvens,7.484092963640942e-10
Acidaminococcus_fermentans,1.5793971072549053e-08
motu_linkage_group_7,8.729457477387886e-10
motu_linkage_group_502,3.5139835450576663e-09
Rothia_mucilaginosa,-6.465589114167184e-10
motu_linkage_group_394,2.7906286275771766e-09
Streptococcus_mitis,-1.656638970921996e-10
motu_linkage_group_565,-1.465887640632629e-08
Holdemania_filiformis,1.1291940554508925e-09
Bacteroides_intestinalis,-1.2850578165423268e-09
motu_linkage_group_624,-5.418021183801791e-09
motu_linkage_group_600,3.07371753717464e-09
Capnocytophaga_sp__oral_taxon_329,1.5732783914798363e-09
motu_linkage_group_131,1.4569910434879132e-09
Parasutterella_excrementihominis,7.659214740846258e-09
Coprococcus_eutactus,-3.412810964343622e-09
motu_linkage_group_407,-3.0128025996721418e-09
motu_linkage_group_122,2.923103831087627e-10
Lactobacillus_delbrueckii,-1.189851011040755e-10
Bifidobacterium_adolescentis,-4.498300837633966e-09
Streptococcus_pneumoniae,3.984228347532782e-11
motu_linkage_group_366,2.4480603619723697e-08
Bacteroides_finegoldii,-4.444234397886547e-09
Eubacterium_siraeum,7.208976116969044e-09
motu_linkage_group_191,-6.062491889900251e-10
Bifidobacterium_catenulatum_Bifidobacterium_pseudocatenulatum_complex,6.578597942494589e-09
Faecalibacterium_prausnitzii,4.070044750170791e-09
motu_linkage_group_158,6.847711727158802e-11
motu_linkage_group_430,-6.021944030516767e-09
motu_linkage_group_207,1.2537132044615167e-09
Parabacteroides_distasonis,-3.406732689837724e-09
motu_linkage_group_376,-3.0820243254786355e-09
Turicibacter_sanguinis,3.8777684676614655e-10
motu_linkage_group_456,2.1708234567062514e-09
motu_linkage_group_238,-1.0979955546322861e-08
Haemophilus_parainfluenzae,-1.3433498253717311e-08
motu_linkage_group_127,-4.006486851602367e-09
Enterobacter_hormaechei_cloacae,1.5494360730058447e-09
Ruminococcus_sp__SR1_5,3.807208580374618e-09
Clostridium_sp__HGF2,-1.0142159736236209e-09
motu_linkage_group_103,-3.3047443307935145e-10
Coprococcus_catus,3.4455439770164166e-09
motu_linkage_group_734,-5.083663898587951e-09
motu_linkage_group_248,-6.7937033388602975e-09
motu_linkage_group_391,8.315814044535954e-10
motu_linkage_group_277,1.8894820034824562e-09
motu_linkage_group_445,-8.23525974453006e-10
Clostridium_saccharolyticum,1.5348459790566576e-09
motu_linkage_group_362,-8.156754572413188e-11
Desulfovibrio_piger,-7.034065192969953e-10
Bifidobacterium_bifidum,8.046601202639357e-09
motu_linkage_group_495,5.016393585666737e-09
motu_linkage_group_437,3.70175173681835e-09
motu_linkage_group_65,-4.366847755907912e-09
Streptococcus_oralis,4.3029212891079054e-10
motu_linkage_group_452,-1.4117306421126737e-09
Roseburia_intestinalis,-9.781593097151799e-10
motu_linkage_group_273,1.4752457454559155e-08
Sutterella_wadsworthensis,7.640027721987845e-09
Clostridium_bolteae,6.209271978830384e-09
motu_linkage_group_712,-1.1976477231151106e-09
Alistipes_putredinis,-4.593205837178827e-10
motu_linkage_group_431,5.924881500792746e-09
Alistipes_shahii,-3.6203182214815707e-09
Veillonella_sp__oral_taxon_158,-1.369201331385657e-08
Clostridium_ramosum,6.749636525760633e-10
motu_linkage_group_573,5.792628010791211e-09
Bacteroides_clarus,2.739721826294701e-09
_Ruminococcus__torques,-5.3502533600094574e-09
Ruminococcus_lactaris,-1.38496121236524e-08
Megasphaera_elsdenii,1.8749895999455185e-08
motu_linkage_group_217,-1.288490085630375e-08
motu_linkage_group_520,-1.703643253315629e-08
motu_linkage_group_414,3.2222779382989615e-09
motu_linkage_group_274,-1.8176138056540827e-08
Streptococcus_anginosus,4.0437707428657306e-10
motu_linkage_group_24,1.575758067505462e-09
Actinomyces_odontolyticus,2.5738154063480294e-10
Granulicatella_adiacens,2.079227965862581e-10
Bifidobacterium_dentium,2.5735785826661727e-09
motu_linkage_group_651,1.2849653971261828e-08
motu_linkage_group_634,-4.1200063205835965e-09
motu_linkage_group_126,3.2414941352405206e-10
Parabacteroides_merdae,-1.975570423003738e-09
Eubacterium_eligens,-2.6602305968113315e-09
Alistipes_sp__HGB5,-1.7557438439423264e-09
motu_linkage_group_508,-1.7469942455100918e-08
motu_linkage_group_696,-1.536849823703009e-08
Streptococcus_parasanguinis,9.065239364402485e-09
motu_linkage_group_307,5.460918598131199e-09
Acidaminococcus_intestini,1.1918059940211035e-08
motu_linkage_group_293,-1.226001239376658e-08
Butyrivibrio_crossotus,3.097831728576344e-09
motu_linkage_group_443,-3.955781547328771e-09
motu_linkage_group_585,-8.847641883039061e-09
motu_linkage_group_142,6.780673843201424e-09
motu_linkage_group_325,-1.1444302688977666e-09
motu_linkage_group_638,-1.1101943981560581e-09
motu_linkage_group_265,1.3532620674757413e-10
Bacteroides_uniformis,-1.900110655284975e-09
motu_linkage_group_136,2.2617674946401064e-09
motu_linkage_group_633,-2.492771853856516e-10
motu_linkage_group_308,2.402881039495025e-09
motu_linkage_group_206,-8.339047794572343e-10
motu_linkage_group_113,2.2609826689854605e-10
motu_linkage_group_268,9.578460882298892e-09
motu_linkage_group_451,1.8875170919192524e-08
motu_linkage_group_134,-2.9918392218228138e-09
motu_linkage_group_373,-1.840370284656984e-08
motu_linkage_group_534,1.2267227455447063e-08
motu_linkage_group_346,9.693573315742199e-09
Lactobacillus_ruminis,7.41095765657817e-09
Bifidobacterium_breve,6.668014300568336e-10
motu_linkage_group_288,1.492243930903149e-09
