,Importance
Bacteroides_caccae,-2.5760683261166443e-09
motu_linkage_group_316,6.822064474664838e-10
motu_linkage_group_87,-6.451268840871079e-10
Streptococcus_sp__C150,9.056750438549966e-11
motu_linkage_group_771,2.4801908266146604e-09
motu_linkage_group_450,2.8961496275254933e-09
Lachnospiraceae_bacterium_1_4_56FAA,2.8681379471541843e-11
motu_linkage_group_566,-8.962242588571966e-11
motu_linkage_group_290,-3.8537045737409135e-09
motu_linkage_group_320,-1.7565442816553427e-09
Clostridium_scindens,-5.758118845594353e-11
motu_linkage_group_254,-3.126567879346357e-10
Dialister_invisus,1.4509162970501795e-09
Clostridium_spiroforme,3.841599740909814e-11
motu_linkage_group_460,-1.863353798056521e-09
motu_linkage_group_357,-1.2028443773062797e-09
Lachnospiraceae_bacterium_3_1_57FAA_CT1,1.0799349907311702e-10
motu_linkage_group_491,7.681305435485064e-10
Haemophilus_influenzae,4.176133758434317e-12
butyrate_producing_bacterium_SS3_4,2.7573533061461025e-09
motu_linkage_group_386,-3.5860765833947663e-09
motu_linkage_group_411,1.670890146101726e-09
motu_linkage_group_550,1.8803945559781328e-10
Streptococcus_sanguinis,1.7472781946960312e-11
motu_linkage_group_177,-8.067889278849898e-10
Haemophilus_pittmaniae,1.5059261694360603e-10
Lactococcus_lactis,2.795905613433269e-10
motu_linkage_group_389,1.4152330955486587e-09
Eubacterium_biforme,6.062963976710142e-10
Eubacterium_rectale,-7.689269928799634e-10
motu_linkage_group_703,-4.091767827750507e-10
Roseburia_hominis,-4.2101415187034194e-11
motu_linkage_group_497,-1.011885834195096e-09
motu_linkage_group_243,2.812432141739936e-09
motu_linkage_group_104,-1.1883931947089376e-09
Eggerthella_lenta,-3.0357319888750427e-10
motu_linkage_group_562,2.619892555625457e-10
Bacteroides_coprocola,8.427676128441655e-10
motu_linkage_group_536,1.410762328838863e-09
motu_linkage_group_334,-9.36373173910934e-11
Veillonella_dispar,7.64762199403704e-11
Klebsiella_variicola_pneumoniae,2.4120816806602124e-09
motu_linkage_group_611,1.1128539306502048e-09
Escherichia_albertii,1.6047619931169233e-11
Enterococcus_faecalis,3.4857121613744655e-10
motu_linkage_group_463,-5.04018863564149e-10
