,Importance
Bacteroides_caccae,-4.086567320831932e-10
motu_linkage_group_316,-1.1580917576326435e-09
motu_linkage_group_87,-1.6428821493304652e-09
Streptococcus_sp__C150,1.6814004446052634e-10
motu_linkage_group_771,2.3118677735086156e-09
motu_linkage_group_450,1.9641797743175007e-10
Lachnospiraceae_bacterium_1_4_56FAA,-6.83626319986863e-13
motu_linkage_group_566,-2.574730531005916e-10
motu_linkage_group_290,-9.774826880126155e-10
motu_linkage_group_320,-5.414287388848926e-10
Clostridium_scindens,-2.3877364440875608e-11
motu_linkage_group_254,1.2904765552511117e-09
Dialister_invisus,2.1183621176423293e-09
Clostridium_spiroforme,-6.109425801783648e-11
motu_linkage_group_460,-8.1233383293559e-10
motu_linkage_group_357,-9.615890751336959e-10
Lachnospiraceae_bacterium_3_1_57FAA_CT1,1.7854998672212322e-10
motu_linkage_group_491,-1.1292916492329826e-10
Haemophilus_influenzae,2.1373209773537156e-11
butyrate_producing_bacterium_SS3_4,3.290160136173691e-10
motu_linkage_group_386,-2.9587115352683006e-10
motu_linkage_group_411,-6.13245411854905e-10
motu_linkage_group_550,-2.889218146052433e-10
Streptococcus_sanguinis,7.043324145771457e-12
motu_linkage_group_177,-2.5513500796955333e-09
Haemophilus_pittmaniae,1.8794011155968177e-10
Lactococcus_lactis,-1.7185547906817415e-11
motu_linkage_group_389,8.491118454048722e-10
Eubacterium_biforme,1.8505749686214143e-10
Eubacterium_rectale,9.250814217935077e-11
motu_linkage_group_703,-2.5562864825131993e-10
Roseburia_hominis,3.1512401685958824e-10
motu_linkage_group_497,-1.1354346399483185e-10
motu_linkage_group_243,-3.43063833957125e-10
motu_linkage_group_104,-2.2306242091457394e-09
Eggerthella_lenta,-9.631281419044365e-11
motu_linkage_group_562,-1.5969130059590603e-10
Bacteroides_coprocola,-1.3543701297825767e-11
motu_linkage_group_536,-8.053180337727307e-10
motu_linkage_group_334,-8.019598630935452e-10
Veillonella_dispar,4.387001570619081e-10
Klebsiella_variicola_pneumoniae,1.0821285097635155e-09
motu_linkage_group_611,3.707053650693276e-10
Escherichia_albertii,1.1867778578392616e-11
Enterococcus_faecalis,1.3821770634570411e-11
motu_linkage_group_463,-2.406641198797562e-10
motu_linkage_group_439,2.960702113249452e-10
motu_linkage_group_415,4.902428791659688e-10
motu_linkage_group_195,-1.024038955820111e-09
motu_linkage_group_246,1.38732349058596e-10
motu_linkage_group_575,-3.793955554191077e-11
motu_linkage_group_404,6.85831261192205e-10
butyrate_producing_bacterium,-8.662738422801378e-10
Veillonella_atypica,3.926049061687958e-10
motu_linkage_group_548,8.895126427059904e-10
motu_linkage_group_85,-1.0481610468471632e-09
motu_linkage_group_470,-6.822380188360971e-10
Gemella_sanguinis,3.182244631904856e-12
Streptococcus_infantis,5.614960412401972e-11
motu_linkage_group_644,-9.77349195316356e-10
Clostridium_leptum,-2.013446487403038e-11
_Ruminococcus__gnavus,9.527924081777798e-10
motu_linkage_group_652,1.1845000198514877e-09
Mitsuokella_multacida,6.598056108323919e-10
motu_linkage_group_310,2.9806063365704206e-09
Clostridium_sp__L2_50,-2.843263647442529e-10
motu_linkage_group_646,-4.3261540421876405e-10
motu_linkage_group_678,-3.7163032085466126e-11
Odoribacter_splanchnicus,1.0537281006803445e-09
motu_linkage_group_302,-1.4208204312822484e-09
motu_linkage_group_258,-1.1653257181755102e-09
motu_linkage_group_701,-2.9046806235656816e-10
motu_linkage_group_168,4.4073562841346386e-10
motu_linkage_group_324,-2.943003286590303e-10
Akkermansia_muciniphila,5.147814355053718e-10
motu_linkage_group_504,-3.9439586573886527e-10
motu_linkage_group_574,-1.2421419124211422e-09
Blautia_hydrogenotrophica,2.2311346103536067e-12
motu_linkage_group_210,1.0082366598361252e-09
Methanobrevibacter_smithii,-3.799499399918222e-11
Bacteroides_plebeius,3.940821489227222e-10
motu_linkage_group_212,-5.648134534231735e-10
Bacteroides_ovatus,-2.1175575599739509e-10
motu_linkage_group_241,-2.0247616699116395e-09
motu_linkage_group_297,-3.6019630648086017e-09
motu_linkage_group_135,-1.7437219309537692e-09
motu_linkage_group_588,-2.3104411551936994e-10
_Clostridium__bartlettii,-6.538553458800307e-11
motu_linkage_group_498,1.4343445250288893e-10
Subdoligranulum_variabile,-5.0478915213664685e-12
motu_linkage_group_228,-5.0852791992384135e-11
Dorea_formicigenerans,6.783155718913512e-11
Streptococcus_mutans,1.44981376023749e-11
motu_linkage_group_289,-1.0928109297346443e-09
Roseburia_inulinivorans,9.441001870586302e-10
motu_linkage_group_224,5.701070514396169e-10
motu_linkage_group_63,1.6611844658815547e-09
motu_linkage_group_234,1.8120344401450644e-09
Victivallis_vadensis,-2.2832855437387046e-11
motu_linkage_group_457,-6.180940879870536e-11
Collinsella_aerofaciens,1.6808584599804447e-09
Coprobacillus_sp__29_1,5.937781595962706e-11
motu_linkage_group_233,-2.1776496697207254e-09
motu_linkage_group_672,9.135190466113832e-10
motu_linkage_group_205,-9.141825142057722e-10
Phascolarctobacterium_succinatutens,8.268408203988273e-10
motu_linkage_group_586,-3.4581241708087427e-12
unclassified_Lachnospiraceae,2.233767456310168e-10
motu_linkage_group_471,-6.712522863007093e-10
motu_linkage_group_225,-6.515964515368475e-10
motu_linkage_group_301,2.0214005853619578e-09
motu_linkage_group_252,-7.140239101154336e-10
Streptococcus_thermophilus,-4.506166080100395e-10
Eubacterium_ventriosum,-7.779660295332393e-10
Enterobacteriaceae_bacterium_9_2_54FAA,-4.314924493086987e-11
Bacteroides_thetaiotaomicron,1.6170956444695724e-09
motu_linkage_group_349,2.4110997314469175e-09
Bilophila_wadsworthia,7.992002370234252e-10
Clostridiales_bacterium_1_7_47FAA,-2.414616775494711e-11
motu_linkage_group_317,-1.3781257979233413e-09
motu_linkage_group_691,-5.346754659263442e-10
Haemophilus_haemolyticus,1.3435007085653048e-11
Prevotella_copri,-1.293955297970185e-10
Streptococcus_salivarius,9.709132747469883e-10
motu_linkage_group_837,9.748897938673128e-10
motu_linkage_group_434,-2.603898251820002e-10
Bacteroides_eggerthii,-6.073895544602587e-11
motu_linkage_group_327,-2.6239414259066686e-10
motu_linkage_group_621,-8.80258929908974e-10
motu_linkage_group_38,-2.9597026675196575e-10
motu_linkage_group_559,5.227106706573784e-10
motu_linkage_group_270,-2.9062034140034103e-10
motu_linkage_group_120,-1.8136710873496783e-09
motu_linkage_group_507,1.9385543523177334e-10
Veillonella_parvula,1.5590721201268002e-09
motu_linkage_group_230,9.680232510405516e-10
motu_linkage_group_486,1.0349720113406215e-10
motu_linkage_group_333,-1.4120766859360907e-09
motu_linkage_group_552,-8.261593936241529e-10
motu_linkage_group_613,4.1253371137073304e-10
motu_linkage_group_481,6.255318463189389e-11
motu_linkage_group_529,-1.399969156050298e-10
Pseudomonas_stutzeri,-1.8839489195263598e-11
motu_linkage_group_118,-1.8919773054300729e-10
motu_linkage_group_625,-4.133994394916795e-10
motu_linkage_group_636,1.305707130843452e-09
motu_linkage_group_490,-1.3969429654520315e-09
motu_linkage_group_281,-1.580015083957055e-10
motu_linkage_group_190,-2.695663361314207e-09
motu_linkage_group_151,-6.888902689942405e-10
Anaerotruncus_colihominis,-2.083031093862334e-12
Bacteroides_fragilis,2.154265155173484e-09
motu_linkage_group_510,-8.523810294010027e-12
motu_linkage_group_521,1.787290220385474e-11
Dorea_longicatena,1.0731652735323794e-10
motu_linkage_group_306,5.04927231483072e-10
Bacteroides_dorei_vulgatus,5.760058595703867e-10
motu_linkage_group_496,-1.1504905792285733e-09
