,Importance
Bacteroides_caccae,0.0002749660052359104
motu_linkage_group_316,0.0
motu_linkage_group_87,1.6988819697871805e-05
Streptococcus_sp__C150,0.0001708436757326126
motu_linkage_group_771,0.0
motu_linkage_group_450,0.0
Lachnospiraceae_bacterium_1_4_56FAA,0.0
motu_linkage_group_566,0.0
motu_linkage_group_290,0.00027459362521767614
motu_linkage_group_320,0.0
Clostridium_scindens,0.0
motu_linkage_group_254,8.835186250507831e-05
Dialister_invisus,0.0
Clostridium_spiroforme,0.0
motu_linkage_group_460,0.0
motu_linkage_group_357,0.0
Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.00016670890152454377
motu_linkage_group_491,0.0
Haemophilus_influenzae,2.6640461292117835e-05
butyrate_producing_bacterium_SS3_4,0.00028386665508151054
motu_linkage_group_386,0.0
motu_linkage_group_411,0.0
motu_linkage_group_550,0.0
Streptococcus_sanguinis,0.0003139608725905418
motu_linkage_group_177,0.00010670267045497894
Haemophilus_pittmaniae,0.0
Lactococcus_lactis,0.00046157922595739363
motu_linkage_group_389,0.0
Eubacterium_biforme,1.697270665317774e-05
Eubacterium_rectale,0.00012087189592421055
motu_linkage_group_703,0.0
Roseburia_hominis,0.0007018811255693436
motu_linkage_group_497,0.0
motu_linkage_group_243,0.0
motu_linkage_group_104,2.1509164944291116e-05
Eggerthella_lenta,0.0003938411921262741
motu_linkage_group_562,1.831031288020313e-05
Bacteroides_coprocola,0.0
motu_linkage_group_536,0.00011807795614004136
motu_linkage_group_334,0.0
Veillonella_dispar,0.0
Klebsiella_variicola_pneumoniae,0.0
motu_linkage_group_611,8.58531054109335e-05
Escherichia_albertii,0.0024636298418045043
Enterococcus_faecalis,0.0
motu_linkage_group_463,0.0
motu_linkage_group_439,0.0
motu_linkage_group_415,7.166900206357241e-05
motu_linkage_group_195,0.00031567271798849106
motu_linkage_group_246,0.0005978837981820106
motu_linkage_group_575,0.0
motu_linkage_group_404,0.0
butyrate_producing_bacterium,0.00017237681895494462
Veillonella_atypica,0.0
motu_linkage_group_548,0.00030670726671814917
motu_linkage_group_85,0.0
motu_linkage_group_470,0.0
Gemella_sanguinis,0.0
Streptococcus_infantis,0.0
motu_linkage_group_644,0.0
Clostridium_leptum,2.818008651956916e-05
_Ruminococcus__gnavus,0.00011526382528245449
motu_linkage_group_652,0.0
Mitsuokella_multacida,0.001160164251923561
motu_linkage_group_310,0.0002129100449383259
Clostridium_sp__L2_50,0.0001868896000087261
motu_linkage_group_646,1.9916179589927196e-05
motu_linkage_group_678,0.0
Odoribacter_splanchnicus,0.0
motu_linkage_group_302,0.0016801778972148896
motu_linkage_group_258,3.3940356224775315e-05
motu_linkage_group_701,0.00015785118564963342
motu_linkage_group_168,0.0
motu_linkage_group_324,9.997012093663216e-05
Akkermansia_muciniphila,3.355982480570674e-05
motu_linkage_group_504,0.0
motu_linkage_group_574,4.349173977971077e-05
Blautia_hydrogenotrophica,0.0
motu_linkage_group_210,0.0
Methanobrevibacter_smithii,0.00013813157565891742
Bacteroides_plebeius,0.0
motu_linkage_group_212,0.0
Bacteroides_ovatus,3.0426462180912495e-05
motu_linkage_group_241,0.0
motu_linkage_group_297,0.0
motu_linkage_group_135,0.0004281377419829369
motu_linkage_group_588,0.0003205115720629692
_Clostridium__bartlettii,0.00018437124788761138
motu_linkage_group_498,6.626073736697436e-05
Subdoligranulum_variabile,0.0
motu_linkage_group_228,0.000341835618019104
Dorea_formicigenerans,0.00014016099274158478
Streptococcus_mutans,0.0
motu_linkage_group_289,0.0
Roseburia_inulinivorans,4.6525700017809865e-05
motu_linkage_group_224,0.00028266353532671926
motu_linkage_group_63,0.0
motu_linkage_group_234,0.00019528500735759734
Victivallis_vadensis,0.0
motu_linkage_group_457,0.0
Collinsella_aerofaciens,0.00043922152370214464
Coprobacillus_sp__29_1,0.0
motu_linkage_group_233,1.7776599852368234e-05
motu_linkage_group_672,0.00042617373168468475
motu_linkage_group_205,2.766020130366087e-05
Phascolarctobacterium_succinatutens,0.00023263711482286454
motu_linkage_group_586,5.7872128672897814e-05
unclassified_Lachnospiraceae,0.0
motu_linkage_group_471,0.0
motu_linkage_group_225,0.00039044242352247237
motu_linkage_group_301,0.00010956067591905594
motu_linkage_group_252,0.0
Streptococcus_thermophilus,0.0003564411029219627
Eubacterium_ventriosum,9.497644379734992e-05
Enterobacteriaceae_bacterium_9_2_54FAA,0.0
Bacteroides_thetaiotaomicron,0.0004922690242528915
motu_linkage_group_349,3.58461681753397e-05
Bilophila_wadsworthia,0.0001689814031124115
Clostridiales_bacterium_1_7_47FAA,0.0
motu_linkage_group_317,0.0008590494841337204
motu_linkage_group_691,0.0
Haemophilus_haemolyticus,0.0
Prevotella_copri,0.0003416448831558228
Streptococcus_salivarius,0.0003155666217207909
motu_linkage_group_837,0.0
motu_linkage_group_434,0.0
Bacteroides_eggerthii,0.0
motu_linkage_group_327,0.0002539929188787937
motu_linkage_group_621,0.0
motu_linkage_group_38,0.0
motu_linkage_group_559,3.9700805209577084e-05
motu_linkage_group_270,0.0
motu_linkage_group_120,0.0
motu_linkage_group_507,2.4127813521772623e-05
Veillonella_parvula,0.0004263680800795555
motu_linkage_group_230,0.0
motu_linkage_group_486,0.00024475211277604105
motu_linkage_group_333,0.0
motu_linkage_group_552,4.126021172851324e-05
motu_linkage_group_613,0.0
motu_linkage_group_481,0.0
motu_linkage_group_529,0.0003235568478703499
Pseudomonas_stutzeri,0.0
motu_linkage_group_118,0.0
motu_linkage_group_625,0.0
motu_linkage_group_636,0.0009105847775936126
motu_linkage_group_490,0.0
motu_linkage_group_281,8.867007680237294e-05
motu_linkage_group_190,0.00010196169838309287
motu_linkage_group_151,0.0
Anaerotruncus_colihominis,0.0
Bacteroides_fragilis,2.7939239516854285e-05
motu_linkage_group_510,3.3009296748787166e-05
motu_linkage_group_521,3.4596063196659086e-05
Dorea_longicatena,1.838279189541936e-05
motu_linkage_group_306,0.00010604278184473515
Bacteroides_dorei_vulgatus,0.0006246544793248177
motu_linkage_group_496,0.0
motu_linkage_group_592,2.2051832638680934e-05
Ruminococcus_bromii,0.0003953175246715546
motu_linkage_group_218,0.0
motu_linkage_group_686,0.0
Bacteroides_stercoris,0.00021728035062551498
motu_linkage_group_115,0.00011193735525012017
Bifidobacterium_longum,2.4004350416362284e-05
motu_linkage_group_145,0.0
motu_linkage_group_260,1.3444294454529882e-05
motu_linkage_group_568,8.702273480594158e-05
Escherichia_coli,7.26116495206952e-05
Coprococcus_comes,7.826068438589573e-05
motu_linkage_group_551,2.867108443751931e-05
Ruminococcaceae_bacterium_D16,8.942520245909691e-05
motu_linkage_group_284,0.00018487555906176567
motu_linkage_group_282,0.0004489228874444962
motu_linkage_group_517,0.00034631740301847456
motu_linkage_group_164,0.0
Streptococcus_gordonii,0.0003533412143588066
motu_linkage_group_244,0.0
motu_linkage_group_341,0.00012983934953808785
Bifidobacterium_angulatum,0.0
motu_linkage_group_379,0.00010208877734839917
Eubacterium_cylindroides,0.0002437785267829895
motu_linkage_group_525,0.0
Eubacterium_hallii,0.0
motu_linkage_group_251,0.0
_Ruminococcus__obeum,0.0007837022840976715
Streptococcus_australis,0.0
motu_linkage_group_124,0.0
motu_linkage_group_348,0.0
Ruminococcus_sp__5_1_39BFAA,0.00018441753461956978
Clostridium_symbiosum,0.0
motu_linkage_group_604,0.0
motu_linkage_group_383,0.00013558049686253072
Streptococcus_vestibularis,0.0006216274574398995
motu_linkage_group_192,0.00012276069261133672
motu_linkage_group_480,0.000555371530354023
motu_linkage_group_474,0.00015185602940618993
Pseudoflavonifractor_capillosus,0.0
Bacteroides_xylanisolvens,4.134787013754249e-06
Acidaminococcus_fermentans,0.0
motu_linkage_group_7,0.0
motu_linkage_group_502,0.0003135460615158081
Rothia_mucilaginosa,0.0
motu_linkage_group_394,3.446131013333798e-05
Streptococcus_mitis,0.0
motu_linkage_group_565,0.0
Holdemania_filiformis,0.000190168097615242
Bacteroides_intestinalis,0.0007330763339996338
motu_linkage_group_624,0.0002064715325832367
motu_linkage_group_600,0.0005036517977714539
Capnocytophaga_sp__oral_taxon_329,6.0428138822317124e-05
motu_linkage_group_131,6.440321914851665e-05
Parasutterella_excrementihominis,1.4454382471740245e-05
Coprococcus_eutactus,0.00011367855593562126
motu_linkage_group_407,0.00018764460459351538
motu_linkage_group_122,0.0
Lactobacillus_delbrueckii,0.00012956099584698677
Bifidobacterium_adolescentis,0.0
Streptococcus_pneumoniae,0.000360250324010849
motu_linkage_group_366,7.430914789438247e-05
Bacteroides_finegoldii,0.00023316130042076112
Eubacterium_siraeum,2.9966579750180243e-05
motu_linkage_group_191,2.3088420275598763e-05
Bifidobacterium_catenulatum_Bifidobacterium_pseudocatenulatum_complex,6.695791380479932e-06
Faecalibacterium_prausnitzii,0.0001422446593642235
motu_linkage_group_158,1.4131044736132026e-05
motu_linkage_group_430,0.0
motu_linkage_group_207,0.00030268508940935136
Parabacteroides_distasonis,0.00042367126792669296
motu_linkage_group_376,1.055798027664423e-05
Turicibacter_sanguinis,0.0
motu_linkage_group_456,0.0
motu_linkage_group_238,0.0002695197984576225
Haemophilus_parainfluenzae,0.0
motu_linkage_group_127,5.262106191366911e-05
Enterobacter_hormaechei_cloacae,0.0
Ruminococcus_sp__SR1_5,5.6348731741309164e-05
Clostridium_sp__HGF2,0.0
motu_linkage_group_103,0.0
Coprococcus_catus,1.5969814267009497e-05
motu_linkage_group_734,0.00010594388470053673
motu_linkage_group_248,0.0
motu_linkage_group_391,0.00033489152789115904
motu_linkage_group_277,0.0
motu_linkage_group_445,0.0
Clostridium_saccharolyticum,0.0
motu_linkage_group_362,0.00025075443089008333
Desulfovibrio_piger,0.0
Bifidobacterium_bifidum,0.0
motu_linkage_group_495,0.0
motu_linkage_group_437,0.0
motu_linkage_group_65,4.726695828139782e-05
Streptococcus_oralis,0.0
motu_linkage_group_452,0.00021861715242266655
Roseburia_intestinalis,4.3240254744887354e-05
motu_linkage_group_273,0.0
Sutterella_wadsworthensis,2.993595786392689e-05
Clostridium_bolteae,0.0003824763745069504
motu_linkage_group_712,2.8904490172863006e-05
Alistipes_putredinis,4.9188355915248395e-05
motu_linkage_group_431,0.0
Alistipes_shahii,2.7513892855495215e-05
Veillonella_sp__oral_taxon_158,2.5060332845896482e-05
Clostridium_ramosum,0.0
motu_linkage_group_573,6.01138174533844e-05
Bacteroides_clarus,0.0
_Ruminococcus__torques,5.038917064666748e-05
Ruminococcus_lactaris,5.088033154606819e-05
Megasphaera_elsdenii,0.0
motu_linkage_group_217,0.0
motu_linkage_group_520,0.000557965375483036
motu_linkage_group_414,0.0005602047592401505
motu_linkage_group_274,6.773950066417456e-05
Streptococcus_anginosus,0.0012761959433555603
motu_linkage_group_24,0.0
Actinomyces_odontolyticus,0.0
Granulicatella_adiacens,0.0
Bifidobacterium_dentium,1.6240770928561688e-05
motu_linkage_group_651,0.0
motu_linkage_group_634,0.0001350207068026066
motu_linkage_group_126,0.00047950930893421174
Parabacteroides_merdae,0.00025177313014864924
Eubacterium_eligens,3.999088425189257e-05
Alistipes_sp__HGB5,0.0
motu_linkage_group_508,0.0001322810910642147
motu_linkage_group_696,5.8925561606884e-05
Streptococcus_parasanguinis,0.0002762812189757824
motu_linkage_group_307,0.00018082747235894202
Acidaminococcus_intestini,0.0
motu_linkage_group_293,6.0420217923820016e-05
Butyrivibrio_crossotus,0.0001609130948781967
motu_linkage_group_443,0.0
motu_linkage_group_585,0.0
motu_linkage_group_142,0.00032857008278369904
motu_linkage_group_325,0.00037158437073230743
motu_linkage_group_638,5.447688978165388e-05
motu_linkage_group_265,0.0
Bacteroides_uniformis,0.0005128869786858558
motu_linkage_group_136,0.0
motu_linkage_group_633,0.0
motu_linkage_group_308,1.1603498132899403e-05
motu_linkage_group_206,5.063068238086999e-06
motu_linkage_group_113,0.0
motu_linkage_group_268,0.0
motu_linkage_group_451,0.0
motu_linkage_group_134,8.007989265024662e-05
motu_linkage_group_373,0.0
motu_linkage_group_534,0.0
motu_linkage_group_346,0.0013260340690612793
Lactobacillus_ruminis,0.0
Bifidobacterium_breve,7.202417124062777e-05
motu_linkage_group_288,0.0
