,Importance
Bacteroides_caccae,0.0002569131120878438
motu_linkage_group_316,9.237977654921172e-05
motu_linkage_group_87,0.0
Streptococcus_sp__C150,0.000272662844460129
motu_linkage_group_771,0.000139952478133643
motu_linkage_group_450,6.689342403630199e-07
Lachnospiraceae_bacterium_1_4_56FAA,0.0
motu_linkage_group_566,4.833153098954113e-05
motu_linkage_group_290,0.0
motu_linkage_group_320,2.5567541701995486e-05
Clostridium_scindens,0.0
motu_linkage_group_254,5.866121487603035e-05
Dialister_invisus,4.891182556151431e-05
Clostridium_spiroforme,1.2028542303771658e-05
motu_linkage_group_460,5.702204771972214e-05
motu_linkage_group_357,3.529499011206329e-05
Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.0002764677762199244
motu_linkage_group_491,0.00026363461385938905
Haemophilus_influenzae,0.0002899924441503278
butyrate_producing_bacterium_SS3_4,0.0002126947995279689
motu_linkage_group_386,6.095180860805861e-05
motu_linkage_group_411,1.8984414278531927e-05
motu_linkage_group_550,0.00020019389511091392
Streptococcus_sanguinis,0.00038032557130593907
motu_linkage_group_177,9.790711143378158e-05
Haemophilus_pittmaniae,0.00021605829626650193
Lactococcus_lactis,2.220149102794366e-05
motu_linkage_group_389,0.0
Eubacterium_biforme,7.088043294097366e-06
Eubacterium_rectale,0.00020809842608007732
motu_linkage_group_703,4.723025085635882e-05
Roseburia_hominis,1.502675607938772e-05
motu_linkage_group_497,1.806491120636864e-05
motu_linkage_group_243,5.694980694980692e-05
motu_linkage_group_104,0.00017655813746330175
Eggerthella_lenta,7.24859454271219e-05
motu_linkage_group_562,2.5692797635968106e-05
Bacteroides_coprocola,2.5561666165722785e-05
motu_linkage_group_536,0.00017651060460200188
motu_linkage_group_334,0.00013518695079357812
Veillonella_dispar,0.0005033895490972631
Klebsiella_variicola_pneumoniae,7.566331124908846e-05
motu_linkage_group_611,8.456248716957441e-05
Escherichia_albertii,0.0
Enterococcus_faecalis,2.5576599326597675e-06
motu_linkage_group_463,3.598246829596034e-05
motu_linkage_group_439,2.373051784816491e-05
motu_linkage_group_415,0.0001237119057254924
motu_linkage_group_195,2.4534742189709118e-05
motu_linkage_group_246,0.0
motu_linkage_group_575,0.00015746198039895992
motu_linkage_group_404,0.0
butyrate_producing_bacterium,0.0002951604006673219
Veillonella_atypica,0.00016225329785594575
motu_linkage_group_548,0.00016538166963621048
motu_linkage_group_85,2.76120276120276e-05
motu_linkage_group_470,3.093579317878384e-05
Gemella_sanguinis,3.986647591797809e-05
Streptococcus_infantis,0.00026014642813685897
motu_linkage_group_644,8.198631932276793e-05
Clostridium_leptum,0.0
_Ruminococcus__gnavus,7.335476681744822e-05
motu_linkage_group_652,4.2005322678209234e-05
Mitsuokella_multacida,0.00010456836294603367
motu_linkage_group_310,0.00032749260224149054
Clostridium_sp__L2_50,2.2779922779922773e-05
motu_linkage_group_646,5.342388228636106e-05
motu_linkage_group_678,2.2779922779922773e-05
Odoribacter_splanchnicus,0.0001764151019019845
motu_linkage_group_302,0.00017322431100422165
motu_linkage_group_258,0.00016550444108508279
motu_linkage_group_701,6.38361290273804e-05
motu_linkage_group_168,1.604078164825828e-05
motu_linkage_group_324,0.00028114882994813273
Akkermansia_muciniphila,0.000272458357097106
motu_linkage_group_504,0.0
motu_linkage_group_574,1.907995795941467e-05
Blautia_hydrogenotrophica,3.81637626845469e-05
motu_linkage_group_210,0.0
Methanobrevibacter_smithii,9.447825145714827e-06
Bacteroides_plebeius,2.4422214556743714e-05
motu_linkage_group_212,0.0002320921141496306
Bacteroides_ovatus,0.00021329798348788834
motu_linkage_group_241,0.00028049018495126995
motu_linkage_group_297,0.0
motu_linkage_group_135,9.674440753064217e-05
motu_linkage_group_588,0.00036752030481042953
_Clostridium__bartlettii,2.9135802469135813e-05
motu_linkage_group_498,0.00011738482769953323
Subdoligranulum_variabile,1.7186551765991022e-05
motu_linkage_group_228,3.30532212885154e-05
Dorea_formicigenerans,8.885279662870393e-05
Streptococcus_mutans,0.00015288817254102138
motu_linkage_group_289,2.468343055510602e-05
Roseburia_inulinivorans,0.00019559930013501298
motu_linkage_group_224,0.0
motu_linkage_group_63,2.4499577284634375e-05
motu_linkage_group_234,7.908273329998687e-05
Victivallis_vadensis,5.947153502709057e-05
motu_linkage_group_457,7.390338100663773e-05
Collinsella_aerofaciens,0.0002422793690578371
Coprobacillus_sp__29_1,0.0005059868990381293
motu_linkage_group_233,0.0
motu_linkage_group_672,3.117474617474617e-05
motu_linkage_group_205,0.000375782085160143
Phascolarctobacterium_succinatutens,0.00016468834607717643
motu_linkage_group_586,2.024882024882024e-05
unclassified_Lachnospiraceae,2.379827171431524e-05
motu_linkage_group_471,0.00018611394711669438
motu_linkage_group_225,4.097222222222223e-05
motu_linkage_group_301,6.441316271418533e-05
motu_linkage_group_252,0.0
Streptococcus_thermophilus,0.00018850579957510873
Eubacterium_ventriosum,5.4961050817180146e-05
Enterobacteriaceae_bacterium_9_2_54FAA,0.00028572451053087095
Bacteroides_thetaiotaomicron,0.00012671710593419792
motu_linkage_group_349,0.00021971153963295107
Bilophila_wadsworthia,3.171911952795247e-05
Clostridiales_bacterium_1_7_47FAA,0.00011991176735830081
motu_linkage_group_317,2.1733624956832043e-05
motu_linkage_group_691,1.0025488530161428e-05
Haemophilus_haemolyticus,0.00039304574677156507
Prevotella_copri,6.042242990940278e-05
Streptococcus_salivarius,0.0006706252620871451
motu_linkage_group_837,0.0007025867295077896
motu_linkage_group_434,0.0
Bacteroides_eggerthii,6.083013189783735e-05
motu_linkage_group_327,0.0
motu_linkage_group_621,1.9505157393279833e-05
motu_linkage_group_38,1.2028542303771658e-05
motu_linkage_group_559,2.9692155196828106e-05
motu_linkage_group_270,7.151515151515152e-05
motu_linkage_group_120,2.2292702171339908e-05
motu_linkage_group_507,0.00037319786901852947
Veillonella_parvula,0.001382316960930069
motu_linkage_group_230,0.0
motu_linkage_group_486,0.00025312280939788416
motu_linkage_group_333,3.417194570135746e-05
motu_linkage_group_552,0.00021039399818671974
motu_linkage_group_613,0.0
motu_linkage_group_481,6.639483507176194e-05
motu_linkage_group_529,1.0126659378222624e-05
Pseudomonas_stutzeri,0.0
motu_linkage_group_118,0.00014594518825524887
motu_linkage_group_625,0.0
motu_linkage_group_636,9.905072097829109e-05
motu_linkage_group_490,0.0001100350665571911
motu_linkage_group_281,7.777531659562279e-05
motu_linkage_group_190,0.0001735167785446342
motu_linkage_group_151,2.1086362118285354e-05
Anaerotruncus_colihominis,0.00014596717792255494
Bacteroides_fragilis,0.0004723965004464233
motu_linkage_group_510,1.2934499064517909e-05
motu_linkage_group_521,2.553322412741043e-06
Dorea_longicatena,0.0001210007143985079
motu_linkage_group_306,0.0001065009731056865
Bacteroides_dorei_vulgatus,0.00013411282203383375
motu_linkage_group_496,3.8083023839904566e-05
