,Importance
Bacteroides_caccae,-2.0694824879614055e-11
motu_linkage_group_316,-5.703858226219317e-11
motu_linkage_group_87,-7.326640718457786e-12
Streptococcus_sp__C150,2.279606211439259e-09
motu_linkage_group_771,2.926490461953561e-11
motu_linkage_group_450,4.071513692398208e-11
Lachnospiraceae_bacterium_1_4_56FAA,1.4800726837113321e-09
motu_linkage_group_566,1.1989248260871217e-10
motu_linkage_group_290,-2.7271075145247743e-11
motu_linkage_group_320,-9.560961209415429e-11
Clostridium_scindens,-2.52459472494061e-09
motu_linkage_group_254,5.0721115662893086e-11
Dialister_invisus,4.147163428808422e-12
Clostridium_spiroforme,-1.096106480300468e-09
motu_linkage_group_460,-2.767600481587507e-11
motu_linkage_group_357,-4.228521369626783e-11
Lachnospiraceae_bacterium_3_1_57FAA_CT1,1.367498460429501e-10
motu_linkage_group_491,4.3982445795627607e-10
Haemophilus_influenzae,3.82389406918096e-10
butyrate_producing_bacterium_SS3_4,-5.723680306556211e-11
motu_linkage_group_386,-3.944402966888082e-11
motu_linkage_group_411,-4.9690818734993295e-12
motu_linkage_group_550,8.003929909989309e-11
Streptococcus_sanguinis,1.2014328343023372e-09
motu_linkage_group_177,6.74738399046171e-12
Haemophilus_pittmaniae,6.699096958180937e-09
Lactococcus_lactis,4.128380435317313e-10
motu_linkage_group_389,-2.06515814026205e-12
Eubacterium_biforme,-3.8280670900499e-11
Eubacterium_rectale,2.1749045683147608e-12
motu_linkage_group_703,-2.814836566059107e-10
Roseburia_hominis,-6.742206706103221e-11
motu_linkage_group_497,-5.1187764177341644e-11
motu_linkage_group_243,2.9549565938669106e-11
motu_linkage_group_104,4.590344139918464e-12
Eggerthella_lenta,-2.371131732832465e-10
motu_linkage_group_562,-1.810391558980597e-10
Bacteroides_coprocola,5.4002702522368455e-12
motu_linkage_group_536,1.1712479823520877e-11
motu_linkage_group_334,-1.0877633085736677e-10
Veillonella_dispar,-5.957880053214504e-10
Klebsiella_variicola_pneumoniae,1.410953122780275e-09
motu_linkage_group_611,-5.083487348701765e-12
Escherichia_albertii,4.379560893317269e-09
Enterococcus_faecalis,4.5854443015025393e-10
motu_linkage_group_463,2.920991341203297e-10
motu_linkage_group_439,3.6611067444126917e-10
motu_linkage_group_415,5.6469381895398475e-12
motu_linkage_group_195,-9.510008998467194e-11
motu_linkage_group_246,-2.8252699103776327e-13
motu_linkage_group_575,8.586379196677864e-10
motu_linkage_group_404,-1.7814683665302953e-11
butyrate_producing_bacterium,5.6291060798665666e-11
Veillonella_atypica,3.72840295711983e-10
motu_linkage_group_548,1.1130811949416427e-10
motu_linkage_group_85,-1.3806896578719348e-11
motu_linkage_group_470,-5.156193313602005e-11
Gemella_sanguinis,1.467583262656765e-09
Streptococcus_infantis,-1.079004864154103e-09
motu_linkage_group_644,-2.63197081709099e-11
Clostridium_leptum,1.1099239711721099e-10
_Ruminococcus__gnavus,6.409192947511362e-12
motu_linkage_group_652,2.0979429259446448e-11
Mitsuokella_multacida,-1.2818913544351875e-11
motu_linkage_group_310,4.062932586439021e-11
Clostridium_sp__L2_50,-4.6882266795470915e-11
motu_linkage_group_646,-2.42401679430092e-10
motu_linkage_group_678,-3.564745535555844e-11
Odoribacter_splanchnicus,1.1175399193938756e-10
motu_linkage_group_302,-6.1626002255325465e-12
motu_linkage_group_258,-1.636394048886551e-11
motu_linkage_group_701,-7.909661249251581e-12
motu_linkage_group_168,8.83101011949082e-12
motu_linkage_group_324,-3.0020834508720155e-10
Akkermansia_muciniphila,5.973728638621115e-12
motu_linkage_group_504,-5.969321993040637e-11
motu_linkage_group_574,-1.4649596853072615e-10
Blautia_hydrogenotrophica,1.318414851676081e-09
motu_linkage_group_210,2.3258134559438586e-11
Methanobrevibacter_smithii,5.011164764397097e-10
Bacteroides_plebeius,-9.435190513248746e-12
motu_linkage_group_212,5.1476059121722864e-12
Bacteroides_ovatus,9.575643124693528e-12
motu_linkage_group_241,-1.30498507439141e-11
motu_linkage_group_297,5.997524160287199e-12
motu_linkage_group_135,8.874461047623608e-12
motu_linkage_group_588,-2.239126138677277e-10
_Clostridium__bartlettii,1.4043975760821478e-10
motu_linkage_group_498,-5.4196028698736594e-11
Subdoligranulum_variabile,2.0721498792825792e-09
motu_linkage_group_228,-7.798724715280109e-12
Dorea_formicigenerans,-2.5700327568506287e-10
Streptococcus_mutans,2.9472339360522894e-09
motu_linkage_group_289,-1.0950235772090213e-12
Roseburia_inulinivorans,8.477966155352162e-11
