,Importance
Bacteroides_caccae,0.00014492314246700126
motu_linkage_group_316,0.0002091781564232587
motu_linkage_group_87,0.00015241630514302985
Streptococcus_sp__C150,3.459696781455464e-05
motu_linkage_group_771,5.238274737219446e-05
motu_linkage_group_450,0.00010083445749225491
Lachnospiraceae_bacterium_1_4_56FAA,3.6581243325140826e-05
motu_linkage_group_566,0.00010214707284180841
motu_linkage_group_290,0.00016290369667189543
motu_linkage_group_320,0.00019215831460085958
Clostridium_scindens,1.6351846174507233e-05
motu_linkage_group_254,9.160357788075944e-05
Dialister_invisus,0.0001001514519004174
Clostridium_spiroforme,0.00012059426468298516
motu_linkage_group_460,0.00012616717178570984
motu_linkage_group_357,2.86135518489503e-05
Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.00012267241926876448
motu_linkage_group_491,6.50555313103779e-05
Haemophilus_influenzae,0.0001559354948099857
butyrate_producing_bacterium_SS3_4,0.0001989472062061124
motu_linkage_group_386,0.00013179525299098857
motu_linkage_group_411,5.70775943022327e-05
motu_linkage_group_550,0.000101544492596269
Streptococcus_sanguinis,1.8802432856900616e-05
motu_linkage_group_177,0.0004798124181159701
Haemophilus_pittmaniae,5.770140455625095e-05
Lactococcus_lactis,9.412577944374923e-05
motu_linkage_group_389,7.772737604681628e-05
Eubacterium_biforme,7.742365957577477e-05
Eubacterium_rectale,9.943186580403123e-05
motu_linkage_group_703,0.00023433037527804102
Roseburia_hominis,0.0001947777456540337
motu_linkage_group_497,9.09133881102417e-05
motu_linkage_group_243,5.829452158252343e-05
motu_linkage_group_104,0.0002859336510744634
Eggerthella_lenta,8.891605660801375e-05
motu_linkage_group_562,0.00011558125158388794
Bacteroides_coprocola,0.0001093733258774907
motu_linkage_group_536,0.0001280745671875157
motu_linkage_group_334,0.00031668014119791253
Veillonella_dispar,5.782465342137718e-05
Klebsiella_variicola_pneumoniae,1.2230095995738165e-05
motu_linkage_group_611,0.0002472670381637165
Escherichia_albertii,2.0223697169818003e-05
Enterococcus_faecalis,1.765832054021887e-05
motu_linkage_group_463,2.873125016167483e-05
motu_linkage_group_439,2.4064943714140503e-05
motu_linkage_group_415,0.00014193192566548194
motu_linkage_group_195,0.00013527289032645682
motu_linkage_group_246,4.529974938316841e-05
motu_linkage_group_575,3.2947800833809153e-05
motu_linkage_group_404,0.00011969316466278739
butyrate_producing_bacterium,0.00014564171594240124
Veillonella_atypica,7.096835672266116e-05
motu_linkage_group_548,8.95057560318553e-05
motu_linkage_group_85,0.00014284846892283565
motu_linkage_group_470,0.0003017697751598297
Gemella_sanguinis,2.8137422033672432e-05
Streptococcus_infantis,3.9915083698043206e-05
motu_linkage_group_644,0.00017272525969843863
Clostridium_leptum,0.00016028998289089162
_Ruminococcus__gnavus,6.186228166078969e-05
motu_linkage_group_652,5.352286746624579e-05
Mitsuokella_multacida,4.902687223075855e-05
motu_linkage_group_310,0.00015091912050529813
Clostridium_sp__L2_50,8.915957891804357e-05
motu_linkage_group_646,0.0003541323207682276
motu_linkage_group_678,8.350349698475571e-05
Odoribacter_splanchnicus,0.00018842614008636647
motu_linkage_group_302,9.252807965618308e-05
motu_linkage_group_258,0.00013817572597264445
motu_linkage_group_701,0.00017957910980289532
motu_linkage_group_168,3.222607219967329e-05
motu_linkage_group_324,7.514330271856431e-05
Akkermansia_muciniphila,9.975488881992655e-05
motu_linkage_group_504,0.00012707203797802203
motu_linkage_group_574,0.00020715864418708146
Blautia_hydrogenotrophica,2.500345617382613e-05
motu_linkage_group_210,8.252486290818907e-05
Methanobrevibacter_smithii,6.428166781864665e-05
Bacteroides_plebeius,0.00011870350514034916
motu_linkage_group_212,0.00034890294938275183
Bacteroides_ovatus,0.0002487582186188749
motu_linkage_group_241,0.00016745702882797737
motu_linkage_group_297,4.791129968531175e-05
motu_linkage_group_135,0.00012198103924893663
motu_linkage_group_588,0.0001856253862937754
_Clostridium__bartlettii,9.591337403424603e-05
motu_linkage_group_498,6.180054747257015e-05
Subdoligranulum_variabile,2.7830803197088127e-05
motu_linkage_group_228,0.00015886864657312964
Dorea_formicigenerans,0.00019306778463111044
Streptococcus_mutans,2.033057131562998e-05
motu_linkage_group_289,0.00016417827730477814
Roseburia_inulinivorans,0.0002600114077406962
motu_linkage_group_224,0.00013817136332020593
motu_linkage_group_63,4.4869883437386214e-05
motu_linkage_group_234,0.00010718031990549522
Victivallis_vadensis,0.00010902789731874022
motu_linkage_group_457,9.054939039576064e-05
Collinsella_aerofaciens,0.0001783191511673663
Coprobacillus_sp__29_1,3.352476025033026e-05
motu_linkage_group_233,0.00012986522198606148
motu_linkage_group_672,0.00011326120886976325
motu_linkage_group_205,0.00023508012507804255
Phascolarctobacterium_succinatutens,7.08567629718044e-05
motu_linkage_group_586,6.649135674755333e-05
unclassified_Lachnospiraceae,1.2782723661412182e-05
motu_linkage_group_471,2.4690903787682076e-05
motu_linkage_group_225,0.00012067996011718714
motu_linkage_group_301,0.0001147380705399103
motu_linkage_group_252,0.00011665377345129055
Streptococcus_thermophilus,0.00020204730263853073
Eubacterium_ventriosum,0.0001527691537987098
Enterobacteriaceae_bacterium_9_2_54FAA,2.28398752510692e-05
Bacteroides_thetaiotaomicron,0.0002277243351948721
motu_linkage_group_349,0.00033419580955422945
Bilophila_wadsworthia,0.0001936795853253996
Clostridiales_bacterium_1_7_47FAA,2.0634336593583856e-05
motu_linkage_group_317,0.00019061301354643943
motu_linkage_group_691,0.0001028285061366815
Haemophilus_haemolyticus,6.732750704314315e-05
Prevotella_copri,0.00016200825434309232
Streptococcus_salivarius,0.00016299193595893858
motu_linkage_group_837,4.699930938636323e-05
motu_linkage_group_434,0.0002528416514493099
Bacteroides_eggerthii,0.00011603722196807165
motu_linkage_group_327,0.00023811834422980357
motu_linkage_group_621,4.745365096693717e-05
motu_linkage_group_38,3.804990523101735e-05
motu_linkage_group_559,0.00017531989806929274
motu_linkage_group_270,0.00011860291628874983
motu_linkage_group_120,0.00012290115907095882
motu_linkage_group_507,0.00018870477987395062
Veillonella_parvula,0.00010808446981915347
motu_linkage_group_230,2.6266508044697294e-05
motu_linkage_group_486,0.00057529753901863
motu_linkage_group_333,8.859956117715655e-05
motu_linkage_group_552,0.0002216390431669024
motu_linkage_group_613,8.479242763987194e-05
motu_linkage_group_481,5.472457530092435e-05
motu_linkage_group_529,0.00015482686782023128
Pseudomonas_stutzeri,0.00021282334568630733
motu_linkage_group_118,6.847974234126679e-05
motu_linkage_group_625,0.00018582608722949323
motu_linkage_group_636,0.00018473947289903095
motu_linkage_group_490,0.00030721433741483743
motu_linkage_group_281,0.0001050110073085747
motu_linkage_group_190,0.00017227045129604313
motu_linkage_group_151,0.00016440033740716813
Anaerotruncus_colihominis,8.843778313689841e-05
Bacteroides_fragilis,7.082535668471346e-05
motu_linkage_group_510,0.00011391876698018145
motu_linkage_group_521,3.930979459151859e-05
Dorea_longicatena,0.00018067135763253145
motu_linkage_group_306,0.00017787766642163059
Bacteroides_dorei_vulgatus,0.00019266176929892795
motu_linkage_group_496,9.351964529964996e-05
motu_linkage_group_592,5.3058440145576405e-05
Ruminococcus_bromii,0.00016885370590688202
motu_linkage_group_218,6.524432294320283e-05
motu_linkage_group_686,0.0003316844772485991
Bacteroides_stercoris,0.00012109799046119578
motu_linkage_group_115,0.00015920664558404548
Bifidobacterium_longum,0.00011785759960538044
motu_linkage_group_145,0.00011446090763251862
motu_linkage_group_260,7.215637894972303e-05
motu_linkage_group_568,0.000222655205716432
Escherichia_coli,0.0003014566639929861
Coprococcus_comes,0.0001816669036465228
motu_linkage_group_551,0.00017549603277604493
Ruminococcaceae_bacterium_D16,0.00012981127424305304
motu_linkage_group_284,0.00010557757765292472
motu_linkage_group_282,0.00022380011840798388
motu_linkage_group_517,0.00038348315144855433
motu_linkage_group_164,7.343631666405166e-05
Streptococcus_gordonii,4.456151261181793e-05
motu_linkage_group_244,0.0002516459679295568
motu_linkage_group_341,0.00010124363201615716
Bifidobacterium_angulatum,5.6101286942504036e-05
motu_linkage_group_379,2.157390459878278e-05
Eubacterium_cylindroides,4.423985824977445e-05
motu_linkage_group_525,0.00011146932983487159
Eubacterium_hallii,0.00019117403826767832
motu_linkage_group_251,3.7951547137047606e-05
_Ruminococcus__obeum,0.00011944392793425584
Streptococcus_australis,3.701222196606493e-05
motu_linkage_group_124,0.0001372891066588192
motu_linkage_group_348,0.00043919385693098434
Ruminococcus_sp__5_1_39BFAA,0.00024757471151709673
Clostridium_symbiosum,3.4306310094412414e-05
motu_linkage_group_604,6.892507702429389e-05
motu_linkage_group_383,7.626338793560614e-05
Streptococcus_vestibularis,4.737572908669583e-05
motu_linkage_group_192,7.481439478191714e-05
motu_linkage_group_480,0.000265489620908454
motu_linkage_group_474,8.979718863881995e-05
Pseudoflavonifractor_capillosus,0.0001431346772677746
Bacteroides_xylanisolvens,0.00012026870571479213
Acidaminococcus_fermentans,2.6292575994462333e-05
motu_linkage_group_7,5.167582841638805e-05
motu_linkage_group_502,0.00013543143190217853
Rothia_mucilaginosa,7.233221747042106e-05
motu_linkage_group_394,0.0002086022406304998
Streptococcus_mitis,1.5907170859236568e-05
motu_linkage_group_565,0.00010043384525975738
Holdemania_filiformis,0.00013814799466755156
