,Importance
Bacteroides_caccae,0.00012536396245599928
motu_linkage_group_316,0.00018874718182113173
motu_linkage_group_87,9.21124950512432e-05
Streptococcus_sp__C150,5.630430279361897e-05
motu_linkage_group_771,0.00013599309739377398
motu_linkage_group_450,6.108032482785719e-05
Lachnospiraceae_bacterium_1_4_56FAA,2.723870541975529e-05
motu_linkage_group_566,2.407165846221929e-05
motu_linkage_group_290,0.00013339175743379435
motu_linkage_group_320,0.00016077244098396267
Clostridium_scindens,5.4982285333704604e-05
motu_linkage_group_254,7.003426418204691e-05
Dialister_invisus,1.554134155304413e-05
Clostridium_spiroforme,8.272207494581072e-05
motu_linkage_group_460,4.7289688382097724e-05
motu_linkage_group_357,1.5828824222177835e-05
Lachnospiraceae_bacterium_3_1_57FAA_CT1,8.026058043547842e-05
motu_linkage_group_491,4.078703441164271e-05
Haemophilus_influenzae,4.589606868979988e-05
butyrate_producing_bacterium_SS3_4,0.00020260751249592964
motu_linkage_group_386,0.0001299071556285573
motu_linkage_group_411,3.188544467460248e-05
motu_linkage_group_550,9.044744287245079e-05
Streptococcus_sanguinis,2.9074139173923206e-05
motu_linkage_group_177,5.817911995273384e-05
Haemophilus_pittmaniae,5.238279692493016e-05
Lactococcus_lactis,8.220066365543076e-05
motu_linkage_group_389,3.403598028285533e-05
Eubacterium_biforme,5.6967423360173184e-05
Eubacterium_rectale,0.00014629894353927108
motu_linkage_group_703,3.402856508075024e-05
Roseburia_hominis,0.00020700879048175173
motu_linkage_group_497,5.3080849075439156e-05
motu_linkage_group_243,4.450543142428532e-05
motu_linkage_group_104,0.00023249184541376924
Eggerthella_lenta,0.00012290933315628865
motu_linkage_group_562,6.483647047055025e-05
Bacteroides_coprocola,3.836071266216134e-05
motu_linkage_group_536,0.00014648662823495967
motu_linkage_group_334,0.0002730851142594534
Veillonella_dispar,6.80616420984163e-05
Klebsiella_variicola_pneumoniae,2.868671189905406e-05
motu_linkage_group_611,0.00012781756694995477
Escherichia_albertii,1.7264372702860486e-05
Enterococcus_faecalis,1.670715915450749e-05
motu_linkage_group_463,7.032010940090983e-06
motu_linkage_group_439,1.0151917285602635e-05
motu_linkage_group_415,0.00013803742327213455
motu_linkage_group_195,4.137252405046474e-05
motu_linkage_group_246,4.423804087192299e-05
motu_linkage_group_575,1.0941603103903726e-05
motu_linkage_group_404,6.011109930033661e-05
butyrate_producing_bacterium,0.00018314427510674855
Veillonella_atypica,4.1624808062453843e-05
motu_linkage_group_548,6.560179682255572e-05
motu_linkage_group_85,7.90487351342817e-05
motu_linkage_group_470,0.0008999766775406499
Gemella_sanguinis,2.5685869805155536e-05
Streptococcus_infantis,3.795789792983802e-05
motu_linkage_group_644,0.000585145320527864
Clostridium_leptum,0.00010364290020145734
_Ruminococcus__gnavus,0.00011792167848079802
motu_linkage_group_652,2.445332226414076e-05
Mitsuokella_multacida,3.7550197038797216e-05
motu_linkage_group_310,0.0001760308144978958
Clostridium_sp__L2_50,5.99792656612846e-05
motu_linkage_group_646,0.0003114081975120992
motu_linkage_group_678,2.475115974527929e-05
Odoribacter_splanchnicus,0.00020196195660554406
motu_linkage_group_302,0.00013497375939128955
motu_linkage_group_258,0.00018380106690164447
motu_linkage_group_701,0.00042644536125806634
motu_linkage_group_168,0.00012088417595851291
motu_linkage_group_324,4.676714236550273e-05
Akkermansia_muciniphila,0.00025836474964081304
motu_linkage_group_504,0.00021517111816508154
motu_linkage_group_574,0.0002501404397199345
Blautia_hydrogenotrophica,2.0620172456160025e-05
motu_linkage_group_210,6.711344888495881e-06
Methanobrevibacter_smithii,3.453822032727552e-05
Bacteroides_plebeius,2.8092181098784316e-05
motu_linkage_group_212,0.0006781818429280442
Bacteroides_ovatus,8.518315697804394e-05
motu_linkage_group_241,7.000000130639273e-05
motu_linkage_group_297,2.9477843441738485e-05
motu_linkage_group_135,0.00012173081053340205
motu_linkage_group_588,0.0001417938406709778
_Clostridium__bartlettii,8.975869648067826e-05
motu_linkage_group_498,7.792430484506732e-05
Subdoligranulum_variabile,5.750569405953368e-05
motu_linkage_group_228,7.182775140504463e-05
Dorea_formicigenerans,0.00020601803356404158
Streptococcus_mutans,1.9721784933829532e-05
motu_linkage_group_289,9.451491270667187e-05
Roseburia_inulinivorans,0.00019560576756580725
motu_linkage_group_224,1.6987910199927268e-05
motu_linkage_group_63,3.1913169660058406e-05
motu_linkage_group_234,3.489388766536942e-05
Victivallis_vadensis,4.240434078104529e-05
motu_linkage_group_457,1.3296806740967574e-05
Collinsella_aerofaciens,0.00012982899095244382
Coprobacillus_sp__29_1,1.9932586082992296e-05
motu_linkage_group_233,0.00010697377170665587
motu_linkage_group_672,0.00011322377589107323
motu_linkage_group_205,0.0001231918877445482
Phascolarctobacterium_succinatutens,0.00011119218312519616
motu_linkage_group_586,8.213350441296904e-05
unclassified_Lachnospiraceae,5.7858537038758255e-06
motu_linkage_group_471,2.4733555320107405e-05
motu_linkage_group_225,0.00015076280235572825
motu_linkage_group_301,0.00012247145695757838
motu_linkage_group_252,6.90992336755775e-05
Streptococcus_thermophilus,0.00011762270801544551
Eubacterium_ventriosum,0.00011622183467787854
Enterobacteriaceae_bacterium_9_2_54FAA,4.268768181764214e-06
Bacteroides_thetaiotaomicron,0.00016553234147640678
motu_linkage_group_349,0.00040830005488414666
Bilophila_wadsworthia,0.00016759178696546027
Clostridiales_bacterium_1_7_47FAA,3.3864279388824e-05
motu_linkage_group_317,0.00015032826583304706
motu_linkage_group_691,0.00012363155993025542
Haemophilus_haemolyticus,2.109808557282576e-05
Prevotella_copri,0.00020306578141672895
Streptococcus_salivarius,0.00015803055683242522
motu_linkage_group_837,1.641388218667294e-05
motu_linkage_group_434,9.086536980494012e-05
Bacteroides_eggerthii,9.296989293636948e-05
motu_linkage_group_327,0.0007806835259627428
motu_linkage_group_621,3.145728812990996e-05
motu_linkage_group_38,8.931100941686333e-05
motu_linkage_group_559,0.0003446897481237249
motu_linkage_group_270,5.096847729115112e-05
motu_linkage_group_120,7.028003717675383e-05
motu_linkage_group_507,7.6051603210869e-05
Veillonella_parvula,5.596972989879535e-05
motu_linkage_group_230,2.3574135953377596e-05
motu_linkage_group_486,0.0002283024328376439
motu_linkage_group_333,0.00011215513022124817
motu_linkage_group_552,0.0006252882130790408
motu_linkage_group_613,7.928385571935783e-05
motu_linkage_group_481,2.4691222025452234e-05
motu_linkage_group_529,1.3596055437086364e-05
Pseudomonas_stutzeri,5.182735418800486e-05
motu_linkage_group_118,1.6960161065696862e-05
motu_linkage_group_625,0.00015348832763599593
motu_linkage_group_636,0.00036457820590846227
motu_linkage_group_490,0.00035636392415017593
motu_linkage_group_281,0.00018275633016159607
motu_linkage_group_190,8.688593464890983e-05
motu_linkage_group_151,0.00011334331138906022
Anaerotruncus_colihominis,9.637491452900504e-05
Bacteroides_fragilis,6.811758181906284e-05
motu_linkage_group_510,0.00016387758838022764
motu_linkage_group_521,4.386742633808765e-05
Dorea_longicatena,0.0001758338588989926
motu_linkage_group_306,0.0003444791076307933
Bacteroides_dorei_vulgatus,0.0001542674481030738
