,Importance
Bacteroides_caccae,0.00013395153917372226
motu_linkage_group_316,5.083878990262747e-05
motu_linkage_group_87,0.0
Streptococcus_sp__C150,0.0
motu_linkage_group_771,0.00029707008972764017
motu_linkage_group_450,2.6016093324869872e-05
Lachnospiraceae_bacterium_1_4_56FAA,0.0
motu_linkage_group_566,2.4068274069577455e-05
motu_linkage_group_290,0.0
motu_linkage_group_320,0.0
Clostridium_scindens,0.0
motu_linkage_group_254,7.777223945595324e-06
Dialister_invisus,0.0
Clostridium_spiroforme,0.0
motu_linkage_group_460,0.00018768647685647011
motu_linkage_group_357,0.0
Lachnospiraceae_bacterium_3_1_57FAA_CT1,1.1509540490806102e-05
motu_linkage_group_491,0.0
Haemophilus_influenzae,0.0
butyrate_producing_bacterium_SS3_4,0.00023228256031870842
motu_linkage_group_386,0.0
motu_linkage_group_411,0.0
motu_linkage_group_550,0.0003091764636337757
Streptococcus_sanguinis,0.0
motu_linkage_group_177,0.0
Haemophilus_pittmaniae,0.0
Lactococcus_lactis,0.00012360726483166219
motu_linkage_group_389,0.0
Eubacterium_biforme,0.0
Eubacterium_rectale,5.229415837675333e-06
motu_linkage_group_703,3.420747583732009e-05
Roseburia_hominis,1.4555795351043344e-05
motu_linkage_group_497,8.322317153215408e-05
motu_linkage_group_243,8.302726782858372e-05
motu_linkage_group_104,0.0
Eggerthella_lenta,0.0004015859588980675
motu_linkage_group_562,0.0
Bacteroides_coprocola,0.0
motu_linkage_group_536,3.943949472159147e-05
motu_linkage_group_334,6.297924090176821e-05
Veillonella_dispar,5.87477907538414e-05
Klebsiella_variicola_pneumoniae,0.0
motu_linkage_group_611,1.99625245295465e-05
Escherichia_albertii,0.0
Enterococcus_faecalis,0.0
motu_linkage_group_463,1.3568688882514834e-05
motu_linkage_group_439,0.0
motu_linkage_group_415,3.247902728617191e-05
motu_linkage_group_195,6.270730867981911e-05
motu_linkage_group_246,0.00013002228923141956
motu_linkage_group_575,0.0
motu_linkage_group_404,0.000324891209602356
butyrate_producing_bacterium,0.00026863351464271543
Veillonella_atypica,2.4260380305349825e-05
motu_linkage_group_548,0.0
motu_linkage_group_85,0.0
motu_linkage_group_470,0.0008718561381101608
Gemella_sanguinis,0.0
Streptococcus_infantis,0.0
motu_linkage_group_644,0.00013139413669705391
Clostridium_leptum,0.00014719318598508836
_Ruminococcus__gnavus,0.0
motu_linkage_group_652,0.0
Mitsuokella_multacida,0.0002861754596233368
motu_linkage_group_310,0.000279877632856369
Clostridium_sp__L2_50,0.00014214358292520047
motu_linkage_group_646,6.199094466865063e-05
motu_linkage_group_678,0.0
Odoribacter_splanchnicus,0.00027723416686058043
motu_linkage_group_302,0.0006239253282546997
motu_linkage_group_258,0.0
motu_linkage_group_701,0.00012692474760115147
motu_linkage_group_168,0.0003502216190099716
motu_linkage_group_324,0.0
Akkermansia_muciniphila,2.461998490616679e-05
motu_linkage_group_504,0.0
motu_linkage_group_574,0.000485796332359314
Blautia_hydrogenotrophica,0.0
motu_linkage_group_210,0.0
Methanobrevibacter_smithii,0.0
Bacteroides_plebeius,0.0
motu_linkage_group_212,0.0
Bacteroides_ovatus,6.759248673915863e-05
motu_linkage_group_241,0.0
motu_linkage_group_297,0.0
motu_linkage_group_135,1.4236012939363718e-05
motu_linkage_group_588,0.00025689061731100083
_Clostridium__bartlettii,2.1242017392069102e-05
motu_linkage_group_498,0.0
Subdoligranulum_variabile,0.0
motu_linkage_group_228,0.0
Dorea_formicigenerans,0.00021035348996520042
Streptococcus_mutans,0.0
motu_linkage_group_289,0.00014861543662846087
Roseburia_inulinivorans,0.00020514648407697676
motu_linkage_group_224,0.0
motu_linkage_group_63,0.0
motu_linkage_group_234,0.0
Victivallis_vadensis,0.0
motu_linkage_group_457,0.00043309245258569716
Collinsella_aerofaciens,0.00013356476090848447
Coprobacillus_sp__29_1,0.0
motu_linkage_group_233,0.00019043916836380959
motu_linkage_group_672,0.0
motu_linkage_group_205,0.0
Phascolarctobacterium_succinatutens,0.0014983853697776795
motu_linkage_group_586,0.00014720969833433627
unclassified_Lachnospiraceae,0.0
motu_linkage_group_471,0.0004966238886117935
motu_linkage_group_225,0.0002860556356608868
motu_linkage_group_301,0.0003813393786549568
motu_linkage_group_252,0.0006397738307714463
Streptococcus_thermophilus,0.000413597971200943
Eubacterium_ventriosum,8.481029653921724e-06
Enterobacteriaceae_bacterium_9_2_54FAA,0.0
Bacteroides_thetaiotaomicron,0.0
motu_linkage_group_349,0.00015891209244728088
Bilophila_wadsworthia,0.00021246641874313353
Clostridiales_bacterium_1_7_47FAA,6.4769322052598e-05
motu_linkage_group_317,0.00020953429862856864
motu_linkage_group_691,2.3635297548025847e-05
Haemophilus_haemolyticus,0.0
Prevotella_copri,0.00011030460707843304
Streptococcus_salivarius,0.0004622241109609604
motu_linkage_group_837,0.0
motu_linkage_group_434,0.0003349990025162697
Bacteroides_eggerthii,0.00022438405081629754
motu_linkage_group_327,0.0
motu_linkage_group_621,0.0
motu_linkage_group_38,0.0007098773121833801
motu_linkage_group_559,4.3720274697989226e-06
motu_linkage_group_270,0.0
motu_linkage_group_120,0.0
motu_linkage_group_507,0.00012357618659734727
Veillonella_parvula,6.36841359664686e-07
motu_linkage_group_230,0.0
motu_linkage_group_486,8.898044936358929e-05
motu_linkage_group_333,0.0
motu_linkage_group_552,0.0005570835247635841
motu_linkage_group_613,0.0
motu_linkage_group_481,0.0005334595590829849
motu_linkage_group_529,0.0
Pseudomonas_stutzeri,9.373553097248077e-05
motu_linkage_group_118,0.0
motu_linkage_group_625,0.00024366611614823341
motu_linkage_group_636,2.2441891487687827e-05
motu_linkage_group_490,0.00038050226867198945
motu_linkage_group_281,0.00011745494790375232
motu_linkage_group_190,1.087988493964076e-05
motu_linkage_group_151,7.524245418608189e-05
Anaerotruncus_colihominis,0.0
Bacteroides_fragilis,2.547570038586855e-05
motu_linkage_group_510,0.0
motu_linkage_group_521,0.0
Dorea_longicatena,0.0004659801721572876
motu_linkage_group_306,9.816920384764672e-05
Bacteroides_dorei_vulgatus,4.206174984574318e-05
motu_linkage_group_496,0.0
motu_linkage_group_592,7.672990206629037e-05
Ruminococcus_bromii,0.0006810303032398224
motu_linkage_group_218,0.0
motu_linkage_group_686,0.00011114673689007759
Bacteroides_stercoris,0.00024918144568800924
motu_linkage_group_115,6.858963053673505e-05
Bifidobacterium_longum,3.894442459568381e-05
motu_linkage_group_145,0.0
motu_linkage_group_260,3.374019404873252e-05
motu_linkage_group_568,0.000541604571044445
Escherichia_coli,4.2759813368320465e-05
Coprococcus_comes,2.1559367887675762e-05
motu_linkage_group_551,4.6124750952003524e-07
Ruminococcaceae_bacterium_D16,3.88442468829453e-05
motu_linkage_group_284,0.001330142319202423
motu_linkage_group_282,9.511330164968968e-05
motu_linkage_group_517,0.00021949151530861855
motu_linkage_group_164,4.7199148684740064e-05
Streptococcus_gordonii,0.0
