,Importance
Bacteroides_caccae,8.930407481409341e-05
motu_linkage_group_316,0.00022586018224603078
motu_linkage_group_87,2.487648641503009e-05
Streptococcus_sp__C150,8.758975116117354e-05
motu_linkage_group_771,4.194906828935958e-05
motu_linkage_group_450,4.194601567634219e-05
Lachnospiraceae_bacterium_1_4_56FAA,2.5312844928601983e-05
motu_linkage_group_566,4.0450161682283136e-05
motu_linkage_group_290,7.490079558493104e-05
motu_linkage_group_320,3.823429180219107e-05
Clostridium_scindens,5.1268091130849446e-05
motu_linkage_group_254,0.00011172919064328402
Dialister_invisus,3.315427055684711e-05
Clostridium_spiroforme,0.000123783368655427
motu_linkage_group_460,0.00025898012290810694
motu_linkage_group_357,1.614519765252726e-05
Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.00015877306305014824
motu_linkage_group_491,0.0001010135354151368
Haemophilus_influenzae,7.720977139577962e-05
butyrate_producing_bacterium_SS3_4,0.0001138640027767464
motu_linkage_group_386,4.2424736885045274e-06
motu_linkage_group_411,1.3125052502748469e-05
motu_linkage_group_550,4.212928178825109e-05
Streptococcus_sanguinis,2.2569993707059133e-05
motu_linkage_group_177,0.00014214953070202708
Haemophilus_pittmaniae,1.846187625445316e-05
Lactococcus_lactis,7.39124038527603e-05
motu_linkage_group_389,2.5925024265956686e-06
Eubacterium_biforme,8.12602305184962e-05
Eubacterium_rectale,0.00014047736401532514
motu_linkage_group_703,6.661211715783205e-05
Roseburia_hominis,0.00011934223878535955
motu_linkage_group_497,3.228933745631159e-05
motu_linkage_group_243,4.532886377030198e-05
motu_linkage_group_104,0.0002350553083965122
Eggerthella_lenta,0.0001679854161420213
motu_linkage_group_562,6.046501549197353e-05
Bacteroides_coprocola,4.877123335783074e-05
motu_linkage_group_536,7.934390787802489e-05
motu_linkage_group_334,0.0001741971778661434
Veillonella_dispar,1.3080658125995423e-05
Klebsiella_variicola_pneumoniae,1.439401404998246e-05
motu_linkage_group_611,9.7061507036643e-05
Escherichia_albertii,1.093091261914968e-05
Enterococcus_faecalis,1.948805012485091e-05
motu_linkage_group_463,5.259372471455544e-06
motu_linkage_group_439,6.350948722519476e-05
motu_linkage_group_415,0.00024062859284503055
motu_linkage_group_195,0.0
motu_linkage_group_246,1.870767827634532e-05
