,Importance
Bacteroides_caccae,0.0
motu_linkage_group_316,0.00038627594709396364
motu_linkage_group_87,0.0
Streptococcus_sp__C150,0.00021366011351346969
motu_linkage_group_771,3.865832230076194e-05
motu_linkage_group_450,0.0
Lachnospiraceae_bacterium_1_4_56FAA,0.0
motu_linkage_group_566,0.0
motu_linkage_group_290,6.994640454649926e-05
motu_linkage_group_320,0.0
Clostridium_scindens,0.0
motu_linkage_group_254,3.198930760845542e-05
Dialister_invisus,2.58085154928267e-05
Clostridium_spiroforme,0.0002656046487390995
motu_linkage_group_460,0.0005250920727849006
motu_linkage_group_357,0.0
Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.0002767566591501236
motu_linkage_group_491,0.0
Haemophilus_influenzae,0.0
butyrate_producing_bacterium_SS3_4,0.0
motu_linkage_group_386,0.0
motu_linkage_group_411,0.0
motu_linkage_group_550,2.4329619482159614e-05
Streptococcus_sanguinis,0.00016496868804097175
motu_linkage_group_177,0.0
Haemophilus_pittmaniae,0.0
Lactococcus_lactis,0.0004011109471321106
motu_linkage_group_389,0.0
Eubacterium_biforme,0.0
Eubacterium_rectale,4.198592621833086e-05
motu_linkage_group_703,0.0
Roseburia_hominis,0.0
motu_linkage_group_497,0.0
motu_linkage_group_243,0.0
motu_linkage_group_104,0.0001412623655050993
Eggerthella_lenta,0.0007863466441631317
motu_linkage_group_562,0.00012739053927361964
Bacteroides_coprocola,0.0
motu_linkage_group_536,0.0
motu_linkage_group_334,0.0
Veillonella_dispar,0.0
Klebsiella_variicola_pneumoniae,0.0
motu_linkage_group_611,0.0
Escherichia_albertii,0.0
Enterococcus_faecalis,0.0
motu_linkage_group_463,0.0
motu_linkage_group_439,0.0
motu_linkage_group_415,4.131968133151531e-05
motu_linkage_group_195,0.0
motu_linkage_group_246,0.0
motu_linkage_group_575,0.0
motu_linkage_group_404,0.00034494079649448393
butyrate_producing_bacterium,6.92557729780674e-05
Veillonella_atypica,0.0003606795892119408
motu_linkage_group_548,4.0510853978048543e-08
motu_linkage_group_85,0.0
motu_linkage_group_470,0.0006344356387853622
Gemella_sanguinis,0.0
Streptococcus_infantis,0.0
motu_linkage_group_644,0.0
Clostridium_leptum,0.0003018844872713089
_Ruminococcus__gnavus,0.0
motu_linkage_group_652,0.0
Mitsuokella_multacida,0.0010407650470733642
motu_linkage_group_310,0.00012960509397089482
Clostridium_sp__L2_50,0.0
motu_linkage_group_646,0.00025526830926537515
motu_linkage_group_678,0.0
Odoribacter_splanchnicus,5.4677021689713e-05
motu_linkage_group_302,0.0
motu_linkage_group_258,0.0
motu_linkage_group_701,0.0006752176582813262
motu_linkage_group_168,0.0
motu_linkage_group_324,0.0
Akkermansia_muciniphila,2.3964396677911282e-05
motu_linkage_group_504,0.0
motu_linkage_group_574,0.0001279699057340622
Blautia_hydrogenotrophica,0.0
motu_linkage_group_210,0.0011712005734443665
Methanobrevibacter_smithii,0.0
Bacteroides_plebeius,0.0
motu_linkage_group_212,0.003030652105808258
Bacteroides_ovatus,0.0
motu_linkage_group_241,0.0005836078897118568
motu_linkage_group_297,0.0
motu_linkage_group_135,0.0
motu_linkage_group_588,6.150197237730027e-05
_Clostridium__bartlettii,0.00017382195219397544
motu_linkage_group_498,0.0
Subdoligranulum_variabile,0.0
motu_linkage_group_228,0.00018578888848423957
Dorea_formicigenerans,2.5938169565051793e-05
Streptococcus_mutans,0.0004784347116947174
motu_linkage_group_289,5.23989275097847e-05
Roseburia_inulinivorans,9.981267154216766e-05
motu_linkage_group_224,0.0
motu_linkage_group_63,0.0004502188041806221
motu_linkage_group_234,0.0
Victivallis_vadensis,0.0
motu_linkage_group_457,0.0
Collinsella_aerofaciens,0.0005744125321507454
Coprobacillus_sp__29_1,0.0
motu_linkage_group_233,2.7690662536770107e-05
motu_linkage_group_672,0.0
motu_linkage_group_205,0.0
Phascolarctobacterium_succinatutens,0.0
motu_linkage_group_586,0.0
unclassified_Lachnospiraceae,0.0
motu_linkage_group_471,0.0
motu_linkage_group_225,0.0003446201980113983
motu_linkage_group_301,0.00023605570197105408
motu_linkage_group_252,0.0
Streptococcus_thermophilus,0.0
Eubacterium_ventriosum,0.0005756301060318947
Enterobacteriaceae_bacterium_9_2_54FAA,0.0
Bacteroides_thetaiotaomicron,4.073283635079861e-05
motu_linkage_group_349,0.0002591625228524208
Bilophila_wadsworthia,0.00039647847414016725
Clostridiales_bacterium_1_7_47FAA,1.4735724544152618e-05
motu_linkage_group_317,0.0007016463577747345
motu_linkage_group_691,0.0
Haemophilus_haemolyticus,0.0
Prevotella_copri,0.0
Streptococcus_salivarius,0.0
motu_linkage_group_837,0.0
motu_linkage_group_434,0.0
Bacteroides_eggerthii,9.851101785898208e-05
motu_linkage_group_327,0.0009773014485836029
motu_linkage_group_621,0.0
motu_linkage_group_38,0.0004328681528568268
motu_linkage_group_559,0.0
motu_linkage_group_270,0.0
motu_linkage_group_120,0.0
motu_linkage_group_507,3.0501245055347682e-05
Veillonella_parvula,0.0006132910400629043
motu_linkage_group_230,0.0
motu_linkage_group_486,0.0
motu_linkage_group_333,0.0
motu_linkage_group_552,0.00011912714689970017
motu_linkage_group_613,0.002627798914909363
motu_linkage_group_481,0.0
motu_linkage_group_529,0.0
Pseudomonas_stutzeri,0.0
motu_linkage_group_118,0.0
motu_linkage_group_625,0.00014909309335052966
motu_linkage_group_636,0.0
motu_linkage_group_490,0.00037830512970685957
motu_linkage_group_281,0.0
motu_linkage_group_190,0.00011888851411640645
motu_linkage_group_151,0.0
Anaerotruncus_colihominis,0.0
Bacteroides_fragilis,5.445176735520363e-05
motu_linkage_group_510,0.0007835628837347031
motu_linkage_group_521,0.0
Dorea_longicatena,0.00010871272534132003
motu_linkage_group_306,0.0001726018264889717
Bacteroides_dorei_vulgatus,0.0
motu_linkage_group_496,0.0
motu_linkage_group_592,6.0755135491490366e-05
Ruminococcus_bromii,0.00011924332939088345
motu_linkage_group_218,0.0
motu_linkage_group_686,0.0
Bacteroides_stercoris,7.3703331872820855e-06
motu_linkage_group_115,0.0
Bifidobacterium_longum,0.00027856558561325075
motu_linkage_group_145,0.0
motu_linkage_group_260,0.0
motu_linkage_group_568,2.6843876112252475e-05
Escherichia_coli,0.0
Coprococcus_comes,0.00014831756241619586
motu_linkage_group_551,1.557382754981518e-05
Ruminococcaceae_bacterium_D16,0.0
motu_linkage_group_284,0.0
motu_linkage_group_282,0.0
motu_linkage_group_517,0.0013313938677310944
motu_linkage_group_164,0.0
Streptococcus_gordonii,6.179396994411946e-05
motu_linkage_group_244,0.0005646664649248123
motu_linkage_group_341,0.0
Bifidobacterium_angulatum,0.0
motu_linkage_group_379,0.00040699765086174013
Eubacterium_cylindroides,0.0
motu_linkage_group_525,0.0
Eubacterium_hallii,8.224951103329659e-05
motu_linkage_group_251,0.0
_Ruminococcus__obeum,0.0
Streptococcus_australis,0.0
motu_linkage_group_124,0.0
motu_linkage_group_348,0.00048433411866426467
Ruminococcus_sp__5_1_39BFAA,0.0010515470802783967
Clostridium_symbiosum,0.0
motu_linkage_group_604,0.0
motu_linkage_group_383,0.0009553635120391846
Streptococcus_vestibularis,0.0010886427015066146
motu_linkage_group_192,0.0
motu_linkage_group_480,0.0
motu_linkage_group_474,0.0
Pseudoflavonifractor_capillosus,5.8476696722209454e-05
Bacteroides_xylanisolvens,0.0001370510645210743
Acidaminococcus_fermentans,0.0
motu_linkage_group_7,0.0
motu_linkage_group_502,0.0004458792507648468
Rothia_mucilaginosa,0.0
motu_linkage_group_394,8.07963591068983e-05
Streptococcus_mitis,0.0
motu_linkage_group_565,0.0
Holdemania_filiformis,5.260567646473646e-05
Bacteroides_intestinalis,0.0
motu_linkage_group_624,0.00013676960952579975
motu_linkage_group_600,0.00014056977815926074
Capnocytophaga_sp__oral_taxon_329,0.0
motu_linkage_group_131,0.0003279995918273926
Parasutterella_excrementihominis,1.2383920839056373e-05
Coprococcus_eutactus,0.0
motu_linkage_group_407,8.701581828063354e-07
motu_linkage_group_122,0.0
Lactobacillus_delbrueckii,0.0
Bifidobacterium_adolescentis,0.0
Streptococcus_pneumoniae,0.0
motu_linkage_group_366,0.0005550145357847213
Bacteroides_finegoldii,0.0
Eubacterium_siraeum,0.00011021186597645282
motu_linkage_group_191,0.00024646345525979995
Bifidobacterium_catenulatum_Bifidobacterium_pseudocatenulatum_complex,3.0952172819525005e-05
Faecalibacterium_prausnitzii,1.7312371637672188e-05
motu_linkage_group_158,0.0
motu_linkage_group_430,0.0
motu_linkage_group_207,0.0
Parabacteroides_distasonis,0.0
motu_linkage_group_376,0.0
Turicibacter_sanguinis,0.0
motu_linkage_group_456,3.572850953787565e-05
motu_linkage_group_238,0.0002896413952112198
Haemophilus_parainfluenzae,0.00015340622514486312
motu_linkage_group_127,0.0003563889116048813
Enterobacter_hormaechei_cloacae,0.00024304758757352828
Ruminococcus_sp__SR1_5,0.0
Clostridium_sp__HGF2,0.0
motu_linkage_group_103,0.0012401131540536881
Coprococcus_catus,0.0
motu_linkage_group_734,0.0
motu_linkage_group_248,0.0
motu_linkage_group_391,8.409820147790014e-06
motu_linkage_group_277,0.0
motu_linkage_group_445,0.0
Clostridium_saccharolyticum,0.00016464002430438996
motu_linkage_group_362,0.0008852141350507736
Desulfovibrio_piger,0.0
Bifidobacterium_bifidum,0.00029023485258221625
motu_linkage_group_495,0.0
motu_linkage_group_437,0.0
motu_linkage_group_65,0.0
Streptococcus_oralis,0.0
motu_linkage_group_452,0.00010089602321386337
Roseburia_intestinalis,0.0
motu_linkage_group_273,0.0
Sutterella_wadsworthensis,0.0
Clostridium_bolteae,0.0
motu_linkage_group_712,9.76224709302187e-05
Alistipes_putredinis,4.469410516321659e-05
motu_linkage_group_431,1.6724320594221354e-05
Alistipes_shahii,0.0003513791412115097
Veillonella_sp__oral_taxon_158,7.800570223480463e-05
Clostridium_ramosum,0.0
motu_linkage_group_573,8.891944773495197e-05
Bacteroides_clarus,0.0
_Ruminococcus__torques,1.8998292507603764e-05
Ruminococcus_lactaris,0.0
Megasphaera_elsdenii,0.0005081278830766678
motu_linkage_group_217,0.0
motu_linkage_group_520,2.5923775974661113e-05
motu_linkage_group_414,0.0
motu_linkage_group_274,0.0
Streptococcus_anginosus,0.0
motu_linkage_group_24,0.0
Actinomyces_odontolyticus,0.0
Granulicatella_adiacens,0.0
Bifidobacterium_dentium,0.0
motu_linkage_group_651,0.0
motu_linkage_group_634,0.00020796924829483032
motu_linkage_group_126,0.0
