,Importance
Bacteroides_caccae,9.559214290536573e-05
motu_linkage_group_316,0.0002328135690270769
motu_linkage_group_87,5.9301432087149995e-05
Streptococcus_sp__C150,3.349487475852334e-05
motu_linkage_group_771,9.180407570680534e-05
motu_linkage_group_450,9.037156078051529e-05
Lachnospiraceae_bacterium_1_4_56FAA,3.772202627515488e-05
motu_linkage_group_566,0.00013004986576164329
motu_linkage_group_290,0.00020437426170566675
motu_linkage_group_320,9.895326684162453e-05
Clostridium_scindens,1.8914873902868235e-05
motu_linkage_group_254,8.61981846329686e-05
Dialister_invisus,5.3506297381405477e-05
Clostridium_spiroforme,9.446147058657783e-05
motu_linkage_group_460,0.0001383461635089696
motu_linkage_group_357,1.2063981911301133e-05
Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.00020124154925261093
motu_linkage_group_491,5.383720106523881e-05
Haemophilus_influenzae,2.9584016539104806e-05
butyrate_producing_bacterium_SS3_4,0.00019753156455188533
motu_linkage_group_386,6.354876806369378e-05
motu_linkage_group_411,4.1686317367473326e-05
motu_linkage_group_550,5.839882394242906e-05
Streptococcus_sanguinis,4.7943629638758474e-05
motu_linkage_group_177,0.0004299982135925801
Haemophilus_pittmaniae,8.644740782111038e-06
Lactococcus_lactis,6.980337775197309e-05
motu_linkage_group_389,7.621275177835423e-05
Eubacterium_biforme,0.00013886333872075677
Eubacterium_rectale,0.00011446901226046577
motu_linkage_group_703,6.634461353021353e-05
Roseburia_hominis,0.00019803523172268807
motu_linkage_group_497,5.5081682815279467e-05
motu_linkage_group_243,0.00017636896306911593
motu_linkage_group_104,0.0002219069780587573
Eggerthella_lenta,0.00011201354758354415
motu_linkage_group_562,7.69041147690592e-05
Bacteroides_coprocola,6.543635179956263e-05
motu_linkage_group_536,8.818635565803037e-05
motu_linkage_group_334,0.00043666156633301236
Veillonella_dispar,2.5755118560057808e-05
Klebsiella_variicola_pneumoniae,0.00013680823088651803
motu_linkage_group_611,0.0001423884046141008
Escherichia_albertii,9.948292376431608e-05
Enterococcus_faecalis,2.4274960855159298e-05
motu_linkage_group_463,1.4697767772029857e-05
motu_linkage_group_439,0.0
motu_linkage_group_415,0.00011182536599819224
motu_linkage_group_195,5.7736002324716006e-05
motu_linkage_group_246,4.432597598301142e-05
motu_linkage_group_575,4.3549584441862635e-05
motu_linkage_group_404,3.366184780136566e-05
butyrate_producing_bacterium,0.0002025913365274403
Veillonella_atypica,5.764204618411781e-05
motu_linkage_group_548,4.711421668466612e-05
motu_linkage_group_85,5.551767383122321e-05
motu_linkage_group_470,0.0006789482738996909
Gemella_sanguinis,2.815154269786921e-05
Streptococcus_infantis,2.0480266515028895e-05
motu_linkage_group_644,5.340905019143298e-05
Clostridium_leptum,0.00010973433124897163
_Ruminococcus__gnavus,5.3497361694438593e-05
motu_linkage_group_652,0.00010809917440813681
Mitsuokella_multacida,6.015898138898332e-05
motu_linkage_group_310,0.00019184527216166335
Clostridium_sp__L2_50,6.864019592844603e-05
motu_linkage_group_646,0.0004652031259662197
motu_linkage_group_678,4.2671322258410006e-05
Odoribacter_splanchnicus,0.00012828934805938298
motu_linkage_group_302,5.7391386342690065e-05
motu_linkage_group_258,8.749008952108476e-05
motu_linkage_group_701,0.00012433758780110388
motu_linkage_group_168,0.0001024295079843262
motu_linkage_group_324,4.01161451144956e-05
Akkermansia_muciniphila,8.307317505608192e-05
motu_linkage_group_504,9.010569190264846e-05
motu_linkage_group_574,7.321656145242936e-05
Blautia_hydrogenotrophica,2.591773273684262e-06
motu_linkage_group_210,0.00019596907843958157
Methanobrevibacter_smithii,5.413425091269613e-05
Bacteroides_plebeius,8.071003785195275e-05
motu_linkage_group_212,0.0002293664293566117
Bacteroides_ovatus,0.00014387234482956933
motu_linkage_group_241,0.00011814306245176386
motu_linkage_group_297,6.837229965538644e-05
motu_linkage_group_135,0.0001445273244859214
motu_linkage_group_588,0.00014034769911719984
_Clostridium__bartlettii,0.00025727366614407347
motu_linkage_group_498,6.495310747432558e-05
Subdoligranulum_variabile,3.0333860988878272e-05
motu_linkage_group_228,7.934233425986703e-05
Dorea_formicigenerans,0.00023994992071128685
Streptococcus_mutans,1.3797373473391322e-05
motu_linkage_group_289,8.327274652041761e-05
Roseburia_inulinivorans,0.00022904988523160885
motu_linkage_group_224,2.1530876713551128e-05
motu_linkage_group_63,6.578594184289886e-05
motu_linkage_group_234,0.00010519735854295246
Victivallis_vadensis,6.029531722095498e-05
motu_linkage_group_457,7.198634729864912e-05
Collinsella_aerofaciens,0.00021705928296491972
Coprobacillus_sp__29_1,6.729769738175952e-05
motu_linkage_group_233,9.534421806560728e-05
motu_linkage_group_672,8.068216848209088e-05
motu_linkage_group_205,0.000385574711754473
Phascolarctobacterium_succinatutens,2.9888092461326927e-05
motu_linkage_group_586,6.913472185300243e-05
unclassified_Lachnospiraceae,8.530642537772766e-06
motu_linkage_group_471,2.3753679626181393e-05
motu_linkage_group_225,0.00015331110773611207
motu_linkage_group_301,0.00012745897439299204
motu_linkage_group_252,7.776069174263637e-05
Streptococcus_thermophilus,0.00018829586940221526
Eubacterium_ventriosum,0.0001412267678192972
Enterobacteriaceae_bacterium_9_2_54FAA,2.321074241404339e-05
Bacteroides_thetaiotaomicron,7.799564945466558e-05
motu_linkage_group_349,0.00042384402163967274
Bilophila_wadsworthia,0.00011870670258709869
Clostridiales_bacterium_1_7_47FAA,5.122211780353793e-05
motu_linkage_group_317,0.00011693596153970108
motu_linkage_group_691,0.00013515385977642063
Haemophilus_haemolyticus,2.4508109100090303e-05
Prevotella_copri,0.00012657510565733214
Streptococcus_salivarius,0.00013556250464382395
motu_linkage_group_837,3.353474835816235e-05
motu_linkage_group_434,0.00026328964129572864
Bacteroides_eggerthii,8.133601705619074e-05
motu_linkage_group_327,0.00022665491573027857
motu_linkage_group_621,2.8921006223194906e-05
motu_linkage_group_38,3.511605221126095e-05
motu_linkage_group_559,0.00028159965612580115
motu_linkage_group_270,8.460559992300595e-05
motu_linkage_group_120,7.788628806989519e-05
motu_linkage_group_507,0.00011118314748657815
Veillonella_parvula,9.033396797059774e-05
motu_linkage_group_230,3.097198159214604e-05
motu_linkage_group_486,0.0008770558683064801
motu_linkage_group_333,0.00022304385149447256
motu_linkage_group_552,0.00035950445317947536
motu_linkage_group_613,0.00015279522737682866
motu_linkage_group_481,6.308321698731155e-05
motu_linkage_group_529,0.0001128516587865492
Pseudomonas_stutzeri,0.00010635682365616435
motu_linkage_group_118,3.963119258341247e-05
motu_linkage_group_625,0.0002607845453010871
motu_linkage_group_636,0.0001088198401129313
motu_linkage_group_490,0.00033592210079066737
motu_linkage_group_281,8.509973905992854e-05
motu_linkage_group_190,0.0003198878495719354
motu_linkage_group_151,0.0002496328689874323
Anaerotruncus_colihominis,5.41998539616658e-05
Bacteroides_fragilis,7.598938296766903e-05
motu_linkage_group_510,0.000313298329786125
motu_linkage_group_521,4.152678818236869e-05
Dorea_longicatena,0.0001412422156079463
motu_linkage_group_306,0.0001113620406727255
Bacteroides_dorei_vulgatus,0.000135802272362779
motu_linkage_group_496,8.643130201019131e-05
motu_linkage_group_592,7.647278133352668e-05
Ruminococcus_bromii,8.652755614556896e-05
motu_linkage_group_218,4.2670969192110536e-05
motu_linkage_group_686,0.00013734335834890288
Bacteroides_stercoris,8.984601339332121e-05
motu_linkage_group_115,0.00011434018543589456
Bifidobacterium_longum,0.0001393266987860059
motu_linkage_group_145,0.00029488712169092293
motu_linkage_group_260,8.713669616948018e-05
motu_linkage_group_568,0.0005106635507384828
Escherichia_coli,0.0015835976538569466
Coprococcus_comes,0.00023693571364883257
motu_linkage_group_551,0.0001277675142307728
Ruminococcaceae_bacterium_D16,0.0001023086883301235
motu_linkage_group_284,8.355163863610831e-05
motu_linkage_group_282,6.27998717431531e-05
motu_linkage_group_517,0.00038449186153853045
motu_linkage_group_164,3.442036210594005e-05
Streptococcus_gordonii,4.917421634488694e-05
