,Importance
Bacteroides_caccae,1.161726356873387e-09
motu_linkage_group_316,-1.5153189218567527e-09
motu_linkage_group_87,-9.039651969550025e-10
Streptococcus_sp__C150,6.622458886661582e-11
motu_linkage_group_771,7.867646872671285e-11
motu_linkage_group_450,-2.016706042055259e-10
Lachnospiraceae_bacterium_1_4_56FAA,6.694088686011876e-11
motu_linkage_group_566,-2.1378138665016626e-10
motu_linkage_group_290,-1.2398020009515582e-09
motu_linkage_group_320,3.600915476096046e-10
Clostridium_scindens,8.152323699282113e-12
motu_linkage_group_254,9.828798329857718e-10
Dialister_invisus,2.545199934953955e-11
Clostridium_spiroforme,9.460669275769373e-12
motu_linkage_group_460,1.3776082306705619e-10
motu_linkage_group_357,5.700034112496537e-10
Lachnospiraceae_bacterium_3_1_57FAA_CT1,5.730993484270713e-10
motu_linkage_group_491,3.122523884393822e-10
Haemophilus_influenzae,-6.756101899253995e-12
butyrate_producing_bacterium_SS3_4,-6.022298985962318e-10
motu_linkage_group_386,9.465905282624978e-11
motu_linkage_group_411,-2.547693452192495e-10
motu_linkage_group_550,-6.130075238440171e-10
Streptococcus_sanguinis,1.0757302165065683e-11
motu_linkage_group_177,-5.198926773462479e-10
Haemophilus_pittmaniae,-4.866772296490371e-12
Lactococcus_lactis,-4.460354387983208e-11
motu_linkage_group_389,4.2083677072815293e-10
Eubacterium_biforme,4.749796110364375e-10
Eubacterium_rectale,2.4530406185803854e-10
motu_linkage_group_703,-1.0569450311734717e-10
Roseburia_hominis,-4.5205349313632983e-10
motu_linkage_group_497,-1.6041549317095277e-10
motu_linkage_group_243,4.643188699944148e-11
motu_linkage_group_104,-6.074681833596814e-10
Eggerthella_lenta,2.942688368408194e-11
motu_linkage_group_562,-1.379886959841814e-10
Bacteroides_coprocola,-6.987972035211911e-10
motu_linkage_group_536,-1.2395549409378874e-10
motu_linkage_group_334,-9.488082469769107e-10
Veillonella_dispar,4.0741720833823245e-11
Klebsiella_variicola_pneumoniae,9.938962183190174e-10
motu_linkage_group_611,1.1867121902512067e-09
Escherichia_albertii,6.950006054150196e-12
Enterococcus_faecalis,2.698617416729683e-11
motu_linkage_group_463,-1.4356433362249143e-11
motu_linkage_group_439,7.290510913730775e-11
motu_linkage_group_415,-1.1671011466980873e-10
motu_linkage_group_195,-1.8042240279261721e-09
motu_linkage_group_246,3.2553706848367906e-10
motu_linkage_group_575,-2.3879948862918326e-11
motu_linkage_group_404,-7.37809382558497e-10
butyrate_producing_bacterium,-4.078873701020745e-10
Veillonella_atypica,3.824118820547425e-11
motu_linkage_group_548,-1.1523184551346173e-09
motu_linkage_group_85,-7.417045493105416e-11
motu_linkage_group_470,-5.464189593921137e-10
Gemella_sanguinis,9.382243938673402e-14
Streptococcus_infantis,5.379840232737943e-11
motu_linkage_group_644,-2.8939680578846917e-10
Clostridium_leptum,1.1067645261379286e-09
_Ruminococcus__gnavus,1.1385103199695978e-09
motu_linkage_group_652,1.6524747573404708e-10
Mitsuokella_multacida,-1.95551744925738e-09
motu_linkage_group_310,4.0881854910604755e-10
Clostridium_sp__L2_50,-1.5136572824757216e-09
motu_linkage_group_646,-1.2952474424332653e-10
motu_linkage_group_678,4.747916133176042e-10
Odoribacter_splanchnicus,-4.161303417733339e-11
motu_linkage_group_302,-8.675343798957281e-10
motu_linkage_group_258,-2.0292585621404228e-09
motu_linkage_group_701,7.8369727123264e-10
motu_linkage_group_168,2.635249880986087e-12
motu_linkage_group_324,4.442381324715032e-10
Akkermansia_muciniphila,2.3844531327087773e-10
motu_linkage_group_504,-2.6211044100676825e-11
motu_linkage_group_574,-1.191538447499216e-09
Blautia_hydrogenotrophica,3.798523790515602e-12
motu_linkage_group_210,2.097201415039807e-09
Methanobrevibacter_smithii,-1.803636609039565e-11
Bacteroides_plebeius,4.069696518897157e-10
motu_linkage_group_212,2.7315078005438676e-10
Bacteroides_ovatus,-1.7745791085059998e-10
motu_linkage_group_241,-1.0729543995568763e-09
motu_linkage_group_297,-3.129715133032812e-10
motu_linkage_group_135,-2.4108491827699954e-10
motu_linkage_group_588,2.6770068243127593e-10
_Clostridium__bartlettii,1.0988638541269331e-10
motu_linkage_group_498,2.466897994684678e-10
Subdoligranulum_variabile,8.252628635969851e-12
motu_linkage_group_228,-1.8232711036577563e-09
Dorea_formicigenerans,2.5248041765051465e-11
Streptococcus_mutans,2.5730052165399302e-11
motu_linkage_group_289,-6.193919501314874e-10
Roseburia_inulinivorans,1.988129198003263e-09
motu_linkage_group_224,7.690845430802923e-11
motu_linkage_group_63,-8.220319695865092e-10
motu_linkage_group_234,1.2038601887544726e-09
Victivallis_vadensis,9.353306989354836e-12
motu_linkage_group_457,-1.0303118504320332e-11
Collinsella_aerofaciens,8.317663531434807e-10
Coprobacillus_sp__29_1,1.1602209247884798e-10
motu_linkage_group_233,-1.5333795255445863e-09
motu_linkage_group_672,5.624161258136934e-10
motu_linkage_group_205,-3.316759900286267e-10
Phascolarctobacterium_succinatutens,3.862364883924287e-10
motu_linkage_group_586,-5.085313968974595e-11
unclassified_Lachnospiraceae,4.8488413591195135e-11
motu_linkage_group_471,1.0188687790541663e-09
motu_linkage_group_225,2.2534890516357836e-10
motu_linkage_group_301,9.922558201440678e-10
motu_linkage_group_252,4.6931698492170725e-12
Streptococcus_thermophilus,-3.788897733328153e-10
Eubacterium_ventriosum,-3.803991429532245e-10
Enterobacteriaceae_bacterium_9_2_54FAA,1.1520179275145404e-10
Bacteroides_thetaiotaomicron,-2.8643258439892463e-11
motu_linkage_group_349,1.8145736828505538e-10
Bilophila_wadsworthia,4.904094879045552e-11
Clostridiales_bacterium_1_7_47FAA,5.985354470430582e-11
motu_linkage_group_317,-1.5205329225908894e-09
motu_linkage_group_691,-1.1901376533333322e-10
Haemophilus_haemolyticus,-8.519940918478917e-12
Prevotella_copri,-6.765321444834165e-11
Streptococcus_salivarius,4.877925279715795e-10
motu_linkage_group_837,9.320807979779765e-11
motu_linkage_group_434,-3.110683490914706e-10
Bacteroides_eggerthii,-1.1357275345195589e-09
motu_linkage_group_327,-8.448039959218866e-10
motu_linkage_group_621,-1.0761303105770159e-10
motu_linkage_group_38,-2.668862725176687e-10
motu_linkage_group_559,2.054517632463843e-09
motu_linkage_group_270,2.5484937895279093e-10
motu_linkage_group_120,-6.9659834641664e-10
motu_linkage_group_507,2.942904319268295e-10
Veillonella_parvula,6.884058799459449e-10
motu_linkage_group_230,-4.5833372310672234e-10
motu_linkage_group_486,-7.003234355254436e-10
motu_linkage_group_333,3.6763790342848475e-10
motu_linkage_group_552,4.1594389247176474e-10
motu_linkage_group_613,3.711068850264846e-10
motu_linkage_group_481,2.1220241956605568e-10
motu_linkage_group_529,1.781817299785288e-10
Pseudomonas_stutzeri,-1.678170678616635e-11
motu_linkage_group_118,5.030532246585774e-11
motu_linkage_group_625,3.361627540887044e-10
motu_linkage_group_636,1.2436276166286438e-09
motu_linkage_group_490,-5.854800115657137e-10
motu_linkage_group_281,-1.35420458029619e-10
motu_linkage_group_190,-5.713839737881386e-10
motu_linkage_group_151,-2.1663452528067748e-10
Anaerotruncus_colihominis,1.759872164549541e-10
Bacteroides_fragilis,5.410737831580147e-10
motu_linkage_group_510,3.201403560928806e-09
motu_linkage_group_521,2.188953080858188e-10
Dorea_longicatena,-4.715088071760214e-12
motu_linkage_group_306,-9.852044041974067e-11
Bacteroides_dorei_vulgatus,-6.649426407970776e-11
motu_linkage_group_496,-9.49020992995758e-10
motu_linkage_group_592,2.8567581495770844e-10
Ruminococcus_bromii,1.4092235991691621e-09
motu_linkage_group_218,4.0520886278319696e-10
motu_linkage_group_686,-2.0954086683573904e-10
Bacteroides_stercoris,-1.676766300219363e-11
motu_linkage_group_115,-2.0232398808895484e-09
Bifidobacterium_longum,9.946072687956287e-10
motu_linkage_group_145,-4.5590308050656703e-10
motu_linkage_group_260,-1.6335055590785564e-10
motu_linkage_group_568,1.4385515156333456e-10
Escherichia_coli,4.629916783714072e-10
Coprococcus_comes,-7.907513711028272e-10
motu_linkage_group_551,-4.678683926649074e-10
Ruminococcaceae_bacterium_D16,1.3302017392700008e-10
motu_linkage_group_284,1.8449328990591128e-10
motu_linkage_group_282,-1.2519424903857638e-09
motu_linkage_group_517,-2.237496036623982e-10
motu_linkage_group_164,-1.0085589665813978e-09
Streptococcus_gordonii,2.5645858224277703e-11
motu_linkage_group_244,6.511383165775123e-10
motu_linkage_group_341,-1.1723136306768834e-09
Bifidobacterium_angulatum,-7.550289569272222e-11
motu_linkage_group_379,8.972405352985436e-10
Eubacterium_cylindroides,4.316253519782314e-10
motu_linkage_group_525,1.0093308460408008e-09
Eubacterium_hallii,1.9178909147538516e-10
motu_linkage_group_251,-3.6214682031083704e-10
_Ruminococcus__obeum,-1.0571874822202638e-10
Streptococcus_australis,1.3415738222254803e-11
motu_linkage_group_124,-1.691791901609507e-09
motu_linkage_group_348,-1.1038417044826877e-09
Ruminococcus_sp__5_1_39BFAA,5.259169186524423e-10
Clostridium_symbiosum,1.2674562891631073e-10
motu_linkage_group_604,2.91879563350457e-11
motu_linkage_group_383,2.1413054596286463e-09
Streptococcus_vestibularis,1.3824851861683714e-10
motu_linkage_group_192,3.0266898928591653e-10
motu_linkage_group_480,6.686423799489518e-10
motu_linkage_group_474,2.311711495840365e-10
Pseudoflavonifractor_capillosus,9.213281922580913e-11
Bacteroides_xylanisolvens,-4.975479955395544e-10
Acidaminococcus_fermentans,4.897010857527598e-10
motu_linkage_group_7,-4.3746643006758987e-10
motu_linkage_group_502,6.709598908443043e-10
Rothia_mucilaginosa,-4.406718262498232e-12
motu_linkage_group_394,-3.674635467006713e-10
Streptococcus_mitis,4.923459929503609e-11
motu_linkage_group_565,5.920859965684737e-11
Holdemania_filiformis,1.4705444850871272e-10
Bacteroides_intestinalis,-1.727299097364842e-09
motu_linkage_group_624,6.091387892884739e-11
motu_linkage_group_600,-1.5004904403723138e-10
Capnocytophaga_sp__oral_taxon_329,2.7842676181133667e-10
motu_linkage_group_131,-2.6493793135449316e-10
Parasutterella_excrementihominis,-6.120534603191416e-10
Coprococcus_eutactus,4.801903175141366e-13
motu_linkage_group_407,5.828720321905134e-11
motu_linkage_group_122,-1.2823538565207014e-09
