,Importance
Bacteroides_caccae,0.0007771459221839904
motu_linkage_group_316,0.0
motu_linkage_group_87,0.0
Streptococcus_sp__C150,0.0
motu_linkage_group_771,0.0011346138268709183
motu_linkage_group_450,0.0
Lachnospiraceae_bacterium_1_4_56FAA,0.0
motu_linkage_group_566,0.0
motu_linkage_group_290,5.6393896229565144e-05
motu_linkage_group_320,0.0
Clostridium_scindens,0.0
motu_linkage_group_254,0.0
Dialister_invisus,0.0
Clostridium_spiroforme,0.0
motu_linkage_group_460,0.0
motu_linkage_group_357,0.0
Lachnospiraceae_bacterium_3_1_57FAA_CT1,6.000343710184097e-05
motu_linkage_group_491,0.000669964775443077
Haemophilus_influenzae,0.0
butyrate_producing_bacterium_SS3_4,0.0
motu_linkage_group_386,0.0
motu_linkage_group_411,0.0
motu_linkage_group_550,0.0
Streptococcus_sanguinis,0.0
motu_linkage_group_177,0.0
Haemophilus_pittmaniae,0.0
Lactococcus_lactis,0.0
motu_linkage_group_389,0.0
Eubacterium_biforme,0.0
Eubacterium_rectale,0.0
motu_linkage_group_703,0.0
Roseburia_hominis,0.0
motu_linkage_group_497,0.0
motu_linkage_group_243,0.0
motu_linkage_group_104,0.0
Eggerthella_lenta,0.0
motu_linkage_group_562,0.0
Bacteroides_coprocola,0.0
motu_linkage_group_536,0.0007965956628322601
motu_linkage_group_334,0.0
Veillonella_dispar,0.0
Klebsiella_variicola_pneumoniae,0.00024669669568538666
motu_linkage_group_611,3.0282186344265938e-05
Escherichia_albertii,0.0
Enterococcus_faecalis,0.0
motu_linkage_group_463,0.0
motu_linkage_group_439,0.0
motu_linkage_group_415,0.000323404036462307
motu_linkage_group_195,0.0
motu_linkage_group_246,0.0
motu_linkage_group_575,0.0
motu_linkage_group_404,0.0
butyrate_producing_bacterium,0.0
Veillonella_atypica,0.0
motu_linkage_group_548,0.0002585980296134949
motu_linkage_group_85,0.0
motu_linkage_group_470,0.0005513802915811538
Gemella_sanguinis,0.0
Streptococcus_infantis,0.0
motu_linkage_group_644,0.0
Clostridium_leptum,0.0
_Ruminococcus__gnavus,0.0
motu_linkage_group_652,0.0
Mitsuokella_multacida,0.0
motu_linkage_group_310,0.0006827752292156219
Clostridium_sp__L2_50,0.0
motu_linkage_group_646,0.0
motu_linkage_group_678,0.0
Odoribacter_splanchnicus,0.00015105585567653178
motu_linkage_group_302,0.0
motu_linkage_group_258,7.142205722630024e-05
motu_linkage_group_701,0.0
motu_linkage_group_168,0.0
motu_linkage_group_324,0.0
Akkermansia_muciniphila,0.0
motu_linkage_group_504,0.0
motu_linkage_group_574,0.0
Blautia_hydrogenotrophica,0.0
motu_linkage_group_210,0.0
Methanobrevibacter_smithii,0.0
Bacteroides_plebeius,0.0
motu_linkage_group_212,0.0
Bacteroides_ovatus,0.000624651350080967
motu_linkage_group_241,0.0006313987821340561
motu_linkage_group_297,0.0
motu_linkage_group_135,0.0
motu_linkage_group_588,0.0002981996536254883
_Clostridium__bartlettii,0.0
motu_linkage_group_498,0.0
Subdoligranulum_variabile,0.0
motu_linkage_group_228,0.0
Dorea_formicigenerans,0.0011557153612375259
Streptococcus_mutans,0.0
motu_linkage_group_289,0.0
Roseburia_inulinivorans,0.0
motu_linkage_group_224,0.0
motu_linkage_group_63,0.0
motu_linkage_group_234,0.0
Victivallis_vadensis,0.0
motu_linkage_group_457,0.0
Collinsella_aerofaciens,0.0
Coprobacillus_sp__29_1,0.0
motu_linkage_group_233,0.0
motu_linkage_group_672,0.0
motu_linkage_group_205,0.002695765495300293
Phascolarctobacterium_succinatutens,0.0
motu_linkage_group_586,0.0
unclassified_Lachnospiraceae,0.0
motu_linkage_group_471,0.0009533543884754181
motu_linkage_group_225,0.0
motu_linkage_group_301,8.566202595829963e-05
motu_linkage_group_252,0.0
Streptococcus_thermophilus,0.0001478630769997835
Eubacterium_ventriosum,0.0
Enterobacteriaceae_bacterium_9_2_54FAA,0.0005662550777196884
Bacteroides_thetaiotaomicron,0.0
motu_linkage_group_349,0.0
Bilophila_wadsworthia,0.0
Clostridiales_bacterium_1_7_47FAA,0.0
motu_linkage_group_317,0.0
motu_linkage_group_691,0.0
Haemophilus_haemolyticus,0.0007868363708257675
Prevotella_copri,0.0
Streptococcus_salivarius,0.0008293473720550537
motu_linkage_group_837,0.0
motu_linkage_group_434,0.0
Bacteroides_eggerthii,0.0
motu_linkage_group_327,0.0003014310635626316
motu_linkage_group_621,0.0
motu_linkage_group_38,0.0
motu_linkage_group_559,0.0
motu_linkage_group_270,0.0
motu_linkage_group_120,0.0
motu_linkage_group_507,0.0
Veillonella_parvula,0.0011025357246398926
motu_linkage_group_230,0.0
motu_linkage_group_486,8.600563742220402e-05
motu_linkage_group_333,0.0
motu_linkage_group_552,0.0
motu_linkage_group_613,0.0
motu_linkage_group_481,0.0
motu_linkage_group_529,0.0
Pseudomonas_stutzeri,0.0
motu_linkage_group_118,0.0
motu_linkage_group_625,0.0
motu_linkage_group_636,0.000960080623626709
motu_linkage_group_490,0.0
motu_linkage_group_281,0.0
motu_linkage_group_190,0.00019829172641038894
motu_linkage_group_151,0.0
Anaerotruncus_colihominis,0.0
Bacteroides_fragilis,0.000540245920419693
motu_linkage_group_510,0.0
motu_linkage_group_521,0.0
Dorea_longicatena,0.0
motu_linkage_group_306,0.0
Bacteroides_dorei_vulgatus,0.0
motu_linkage_group_496,0.0
motu_linkage_group_592,0.00020929453894495963
Ruminococcus_bromii,5.615720059722662e-05
motu_linkage_group_218,0.0
motu_linkage_group_686,0.0
Bacteroides_stercoris,9.551119059324265e-05
motu_linkage_group_115,0.0
Bifidobacterium_longum,0.0
motu_linkage_group_145,0.0
motu_linkage_group_260,5.847946275025606e-05
motu_linkage_group_568,0.0003427852690219879
Escherichia_coli,0.0009255348145961761
Coprococcus_comes,0.00029465869069099425
motu_linkage_group_551,0.0
Ruminococcaceae_bacterium_D16,0.0
motu_linkage_group_284,0.0
motu_linkage_group_282,0.0
motu_linkage_group_517,0.001399478167295456
motu_linkage_group_164,0.0
Streptococcus_gordonii,0.0019249868392944335
motu_linkage_group_244,3.559060161933303e-05
motu_linkage_group_341,0.0
Bifidobacterium_angulatum,0.0
motu_linkage_group_379,0.0
Eubacterium_cylindroides,0.0
motu_linkage_group_525,0.0
Eubacterium_hallii,0.0
motu_linkage_group_251,0.0
_Ruminococcus__obeum,0.0005214064195752144
Streptococcus_australis,0.0018187831342220307
motu_linkage_group_124,0.0
motu_linkage_group_348,0.0
Ruminococcus_sp__5_1_39BFAA,0.0
Clostridium_symbiosum,0.0
motu_linkage_group_604,0.0
motu_linkage_group_383,0.0
Streptococcus_vestibularis,0.00019432371482253075
motu_linkage_group_192,0.0014941997826099396
motu_linkage_group_480,0.0
motu_linkage_group_474,0.0
Pseudoflavonifractor_capillosus,0.0
Bacteroides_xylanisolvens,0.0
Acidaminococcus_fermentans,0.0
motu_linkage_group_7,0.0005032598599791527
motu_linkage_group_502,0.0
Rothia_mucilaginosa,0.0
motu_linkage_group_394,0.0
Streptococcus_mitis,0.0
motu_linkage_group_565,0.0
Holdemania_filiformis,0.0
Bacteroides_intestinalis,0.0
motu_linkage_group_624,0.0
motu_linkage_group_600,0.0002741631492972374
Capnocytophaga_sp__oral_taxon_329,0.0
motu_linkage_group_131,0.00219944030046463
Parasutterella_excrementihominis,0.0
Coprococcus_eutactus,0.0
motu_linkage_group_407,0.0
motu_linkage_group_122,0.0
Lactobacillus_delbrueckii,0.0
Bifidobacterium_adolescentis,0.00011999751441180707
Streptococcus_pneumoniae,0.0
motu_linkage_group_366,0.0
Bacteroides_finegoldii,0.0
Eubacterium_siraeum,0.0003116062097251415
motu_linkage_group_191,0.0
Bifidobacterium_catenulatum_Bifidobacterium_pseudocatenulatum_complex,0.00015355614945292473
Faecalibacterium_prausnitzii,0.0
motu_linkage_group_158,0.0
motu_linkage_group_430,0.0
motu_linkage_group_207,0.0
Parabacteroides_distasonis,0.0
motu_linkage_group_376,0.0
Turicibacter_sanguinis,0.0
motu_linkage_group_456,0.0
motu_linkage_group_238,0.0
Haemophilus_parainfluenzae,0.0
motu_linkage_group_127,0.0
Enterobacter_hormaechei_cloacae,0.0
Ruminococcus_sp__SR1_5,0.00026711000129580497
Clostridium_sp__HGF2,0.0
motu_linkage_group_103,0.0
Coprococcus_catus,0.0
motu_linkage_group_734,0.0
motu_linkage_group_248,0.0
motu_linkage_group_391,0.0
motu_linkage_group_277,0.0
motu_linkage_group_445,0.0
Clostridium_saccharolyticum,0.0
motu_linkage_group_362,0.0
Desulfovibrio_piger,0.0
Bifidobacterium_bifidum,0.0
motu_linkage_group_495,0.0
motu_linkage_group_437,0.0
motu_linkage_group_65,0.0
Streptococcus_oralis,0.003500556945800781
motu_linkage_group_452,0.0
Roseburia_intestinalis,0.0
motu_linkage_group_273,0.0
Sutterella_wadsworthensis,0.0
Clostridium_bolteae,0.0
motu_linkage_group_712,0.0
Alistipes_putredinis,0.0
motu_linkage_group_431,0.0
Alistipes_shahii,0.0
Veillonella_sp__oral_taxon_158,0.0001060122810304165
Clostridium_ramosum,0.0010290063172578813
motu_linkage_group_573,0.0001051299087703228
Bacteroides_clarus,0.0002614573948085308
_Ruminococcus__torques,0.0
Ruminococcus_lactaris,0.0
Megasphaera_elsdenii,0.0
motu_linkage_group_217,0.0
motu_linkage_group_520,0.0
motu_linkage_group_414,0.0
motu_linkage_group_274,0.0
Streptococcus_anginosus,0.0
motu_linkage_group_24,0.0
Actinomyces_odontolyticus,0.00022862229496240616
Granulicatella_adiacens,0.0
Bifidobacterium_dentium,0.0
motu_linkage_group_651,0.0
motu_linkage_group_634,0.0
motu_linkage_group_126,0.0
Parabacteroides_merdae,0.0
Eubacterium_eligens,0.0
Alistipes_sp__HGB5,0.0
motu_linkage_group_508,0.0
motu_linkage_group_696,0.0
Streptococcus_parasanguinis,0.001056068018078804
motu_linkage_group_307,0.0
Acidaminococcus_intestini,0.0016980649530887605
motu_linkage_group_293,0.0
Butyrivibrio_crossotus,0.0
motu_linkage_group_443,0.0
motu_linkage_group_585,0.0
motu_linkage_group_142,0.0
motu_linkage_group_325,0.0004314395785331726
motu_linkage_group_638,0.0
motu_linkage_group_265,0.0
Bacteroides_uniformis,0.0
motu_linkage_group_136,0.0
motu_linkage_group_633,0.0
motu_linkage_group_308,0.0
motu_linkage_group_206,0.0
motu_linkage_group_113,0.0
motu_linkage_group_268,0.0006093474477529525
motu_linkage_group_451,0.0
motu_linkage_group_134,0.0
motu_linkage_group_373,0.0
motu_linkage_group_534,0.0
motu_linkage_group_346,0.0
Lactobacillus_ruminis,0.0
Bifidobacterium_breve,0.0
motu_linkage_group_288,0.0
