,Importance
Bacteroides_caccae,2.6556209195405246e-05
motu_linkage_group_316,4.4785044156014917e-05
motu_linkage_group_87,0.00012093708850443364
Streptococcus_sp__C150,9.792910888791084e-05
motu_linkage_group_771,0.0001070914976298809
motu_linkage_group_450,0.0
Lachnospiraceae_bacterium_1_4_56FAA,2.8474419377744197e-05
motu_linkage_group_566,0.00022137785330414772
motu_linkage_group_290,0.0001951208896934986
motu_linkage_group_320,3.015239490196109e-05
Clostridium_scindens,0.0
motu_linkage_group_254,3.107845550402999e-05
Dialister_invisus,0.0
Clostridium_spiroforme,0.00013030009344220162
motu_linkage_group_460,1.105059520341456e-05
motu_linkage_group_357,0.00016272855922579765
Lachnospiraceae_bacterium_3_1_57FAA_CT1,6.228741258382798e-05
motu_linkage_group_491,0.00014548792503774166
Haemophilus_influenzae,0.0003302421793341637
butyrate_producing_bacterium_SS3_4,0.00016503529623150824
motu_linkage_group_386,0.0
motu_linkage_group_411,0.0
motu_linkage_group_550,8.072134107351304e-05
Streptococcus_sanguinis,0.0
motu_linkage_group_177,0.0003146454691886902
Haemophilus_pittmaniae,0.0005023147165775299
Lactococcus_lactis,7.96985812485218e-05
motu_linkage_group_389,0.0
Eubacterium_biforme,0.00014687986113131045
Eubacterium_rectale,2.668541856110096e-06
motu_linkage_group_703,9.430411271750927e-05
Roseburia_hominis,6.92834472283721e-05
motu_linkage_group_497,9.383824653923512e-05
motu_linkage_group_243,0.00011477585881948471
motu_linkage_group_104,0.00014853985980153083
Eggerthella_lenta,0.00010363483801484108
motu_linkage_group_562,0.0003927638009190559
Bacteroides_coprocola,0.0
motu_linkage_group_536,3.2761937472969296e-05
motu_linkage_group_334,0.00014918039552867414
Veillonella_dispar,6.972241681069136e-05
Klebsiella_variicola_pneumoniae,0.0
motu_linkage_group_611,9.411339648067952e-05
Escherichia_albertii,0.0
Enterococcus_faecalis,0.0
motu_linkage_group_463,0.00032524384558200835
motu_linkage_group_439,0.0
motu_linkage_group_415,0.0001539394911378622
motu_linkage_group_195,0.00031163372099399564
motu_linkage_group_246,0.0
motu_linkage_group_575,0.0
motu_linkage_group_404,0.00025470638647675516
butyrate_producing_bacterium,0.00028893399983644487
Veillonella_atypica,0.00011949523352086544
motu_linkage_group_548,0.00010410823859274387
motu_linkage_group_85,0.0001563669741153717
motu_linkage_group_470,3.111511934548617e-05
Gemella_sanguinis,0.0005095145851373672
Streptococcus_infantis,0.0
motu_linkage_group_644,1.6463228967040777e-05
Clostridium_leptum,0.00013307701796293257
_Ruminococcus__gnavus,0.0005761432275176048
motu_linkage_group_652,0.000803442969918251
Mitsuokella_multacida,0.0001487383246421814
motu_linkage_group_310,0.00023211173713207244
Clostridium_sp__L2_50,0.0003371782228350639
motu_linkage_group_646,0.00017624646425247193
motu_linkage_group_678,9.404297918081284e-05
Odoribacter_splanchnicus,0.0001020297221839428
motu_linkage_group_302,0.000512450858950615
motu_linkage_group_258,0.00021000226959586144
motu_linkage_group_701,0.00012617169879376887
motu_linkage_group_168,0.00017356047406792642
motu_linkage_group_324,7.497115526348352e-05
Akkermansia_muciniphila,0.0005043858289718628
motu_linkage_group_504,0.00011740313842892647
motu_linkage_group_574,5.532553419470787e-05
Blautia_hydrogenotrophica,0.0
motu_linkage_group_210,9.34603251516819e-05
Methanobrevibacter_smithii,0.0
Bacteroides_plebeius,0.0
motu_linkage_group_212,0.0002228088304400444
Bacteroides_ovatus,6.808667443692684e-05
motu_linkage_group_241,0.0001323582138866186
motu_linkage_group_297,0.0
motu_linkage_group_135,8.542072027921677e-05
motu_linkage_group_588,0.0003010355867445469
_Clostridium__bartlettii,4.487445577979088e-05
motu_linkage_group_498,1.3651741901412607e-05
Subdoligranulum_variabile,0.000850839912891388
motu_linkage_group_228,0.0001941678300499916
Dorea_formicigenerans,0.0001604488678276539
Streptococcus_mutans,0.0
motu_linkage_group_289,0.00019381999969482423
Roseburia_inulinivorans,0.0001532872300595045
motu_linkage_group_224,0.00017749130725860595
motu_linkage_group_63,0.0
motu_linkage_group_234,5.0906436517834666e-05
Victivallis_vadensis,0.00017330732196569443
motu_linkage_group_457,0.00013589877635240556
Collinsella_aerofaciens,8.6864260956645e-05
Coprobacillus_sp__29_1,1.245965133421123e-05
motu_linkage_group_233,0.00016222184523940087
motu_linkage_group_672,0.00017903879284858704
motu_linkage_group_205,0.00023007573559880257
Phascolarctobacterium_succinatutens,0.0
motu_linkage_group_586,7.979772984981537e-05
unclassified_Lachnospiraceae,0.0
motu_linkage_group_471,3.982765600085259e-05
motu_linkage_group_225,0.00020507439970970153
motu_linkage_group_301,0.0001573066972196102
motu_linkage_group_252,0.00020387185737490653
Streptococcus_thermophilus,6.533909589052201e-05
Eubacterium_ventriosum,0.0001241992972791195
Enterobacteriaceae_bacterium_9_2_54FAA,0.0
Bacteroides_thetaiotaomicron,4.9150846898555755e-05
motu_linkage_group_349,0.00011359165422618389
Bilophila_wadsworthia,3.869022708386183e-05
Clostridiales_bacterium_1_7_47FAA,5.121915135532617e-05
motu_linkage_group_317,0.0003773599490523338
motu_linkage_group_691,0.0001534089259803295
Haemophilus_haemolyticus,0.00012997807003557683
Prevotella_copri,7.678255904465914e-05
Streptococcus_salivarius,0.00012109923176467418
motu_linkage_group_837,0.00013322000391781331
motu_linkage_group_434,0.0
Bacteroides_eggerthii,0.00015077793039381505
motu_linkage_group_327,0.0002655361592769623
motu_linkage_group_621,0.0
motu_linkage_group_38,0.0
motu_linkage_group_559,5.481456406414509e-05
motu_linkage_group_270,0.0
motu_linkage_group_120,0.00012687214650213718
motu_linkage_group_507,0.00022471528500318528
Veillonella_parvula,2.032520482316613e-05
motu_linkage_group_230,0.0
